Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.5000,1.0000,0.6667,0.7692,0.5882,0.6667,1.0000,1.0000,1.0000
Ex 252,0.6000,0.6000,0.6000,0.8333,0.6250,0.7143,1.0000,0.2000,0.3333
Ex 253,1.0000,1.0000,1.0000,0.6957,0.6667,0.6809,0.8000,0.6667,0.7273
Ex 254,0.5000,0.6667,0.5714,0.6667,0.6000,0.6316,0.0000,0.0000,0.0000
Ex 255,1.0000,0.7273,0.8421,0.7500,0.6000,0.6667,0.6667,0.1818,0.2857
Ex 256,1.0000,1.0000,1.0000,0.5789,0.6875,0.6286,1.0000,1.0000,1.0000
Ex 257,0.6000,1.0000,0.7500,0.9231,0.5455,0.6857,1.0000,1.0000,1.0000
Ex 258,0.7500,1.0000,0.8571,0.2308,0.1364,0.1714,1.0000,0.5000,0.6667
Ex 259,0.8333,0.8333,0.8333,0.8889,0.6667,0.7619,0.7500,0.5000,0.6000
Ex 260,0.6667,1.0000,0.8000,0.8667,0.6190,0.7222,1.0000,0.6667,0.8000
Ex 261,1.0000,1.0000,1.0000,0.7143,0.5263,0.6061,1.0000,0.5000,0.6667
Ex 262,1.0000,0.8750,0.9333,0.5769,0.4688,0.5172,1.0000,0.5714,0.7273
Ex 263,0.4000,0.4000,0.4000,0.6250,0.6250,0.6250,0.0000,0.0000,0.0000
Ex 264,1.0000,0.8571,0.9231,0.6154,0.5714,0.5926,1.0000,0.5000,0.6667
Ex 265,0.6250,1.0000,0.7692,0.5789,0.6875,0.6286,0.7500,1.0000,0.8571
Ex 266,0.5000,1.0000,0.6667,0.2667,0.3636,0.3077,1.0000,1.0000,1.0000
Ex 267,0.5000,1.0000,0.6667,0.3333,0.4167,0.3704,0.0000,0.0000,0.0000
Ex 268,0.5714,0.8000,0.6667,0.4762,0.7143,0.5714,0.5000,0.2500,0.3333
Ex 269,0.4286,1.0000,0.6000,0.7000,0.6364,0.6667,0.0000,0.0000,0.0000
Ex 270,0.6000,0.7500,0.6667,0.3636,0.2857,0.3200,0.0000,0.0000,0.0000
Ex 271,0.6000,1.0000,0.7500,0.6364,0.4667,0.5385,1.0000,1.0000,1.0000
Ex 272,0.5000,1.0000,0.6667,0.2083,0.2500,0.2273,1.0000,0.2000,0.3333
Ex 273,0.4000,1.0000,0.5714,0.8000,0.5000,0.6154,1.0000,1.0000,1.0000
Ex 274,0.7500,0.7500,0.7500,0.6364,0.5385,0.5833,1.0000,0.3333,0.5000
Ex 275,0.6000,1.0000,0.7500,0.7500,0.7059,0.7273,1.0000,1.0000,1.0000
Ex 276,0.8333,1.0000,0.9091,0.5263,0.3704,0.4348,1.0000,0.6000,0.7500
Ex 277,1.0000,0.7143,0.8333,0.6000,0.5455,0.5714,0.3333,0.1667,0.2222
Ex 278,0.4000,0.6667,0.5000,0.7692,0.7143,0.7407,1.0000,0.5000,0.6667
Ex 279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 280,0.8000,0.5714,0.6667,0.5000,0.5294,0.5143,0.0000,0.0000,0.0000
Ex 281,0.7500,1.0000,0.8571,0.3333,0.3571,0.3448,1.0000,0.5000,0.6667
Ex 282,0.8000,0.8000,0.8000,0.6250,0.7143,0.6667,1.0000,0.5000,0.6667
Ex 283,0.5000,1.0000,0.6667,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000
Ex 284,0.2000,0.2500,0.2222,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000
Ex 285,0.2500,0.3333,0.2857,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000
Ex 286,0.6667,1.0000,0.8000,0.9167,0.7333,0.8148,1.0000,0.6667,0.8000
Ex 287,0.3333,0.4000,0.3636,0.3636,0.5000,0.4211,0.0000,0.0000,0.0000
Ex 288,0.3333,0.4000,0.3636,0.8333,0.6250,0.7143,0.0000,0.0000,0.0000
Ex 289,0.6000,1.0000,0.7500,0.7000,0.5833,0.6364,0.0000,0.0000,0.0000
Ex 290,0.6667,1.0000,0.8000,0.8889,0.8889,0.8889,1.0000,1.0000,1.0000
Ex 291,0.2857,0.5000,0.3636,0.4286,0.3333,0.3750,0.0000,0.0000,0.0000
Ex 292,0.4000,0.6667,0.5000,0.1429,0.1667,0.1538,0.0000,0.0000,0.0000
Ex 293,0.2000,0.2500,0.2222,0.6667,0.4000,0.5000,0.0000,0.0000,0.0000
Ex 294,0.8000,1.0000,0.8889,0.8333,0.7500,0.7895,1.0000,0.6667,0.8000
Ex 295,0.4286,1.0000,0.6000,0.7500,0.7500,0.7500,1.0000,0.5000,0.6667
Ex 296,0.5000,0.5000,0.5000,0.8333,0.7143,0.7692,0.0000,0.0000,0.0000
Ex 297,0.5000,0.4000,0.4444,0.2222,0.3333,0.2667,0.0000,0.0000,0.0000
Ex 298,1.0000,1.0000,1.0000,0.6667,0.4615,0.5455,0.7500,1.0000,0.8571
Ex 299,1.0000,1.0000,1.0000,0.8182,0.6667,0.7347,1.0000,0.5000,0.6667
Ex 300,0.2000,0.2500,0.2222,0.3333,0.2500,0.2857,0.0000,0.0000,0.0000
Ex 301,0.4000,0.5000,0.4444,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000
Ex 302,0.6250,1.0000,0.7692,0.6538,0.5312,0.5862,1.0000,0.7500,0.8571
