Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.5000,0.6667,0.5714,1.0000,0.9000,0.9474,0.0000,0.0000,0.0000
Ex 252,0.6667,0.8000,0.7273,0.7083,0.7727,0.7391,0.0000,0.0000,0.0000
Ex 253,0.7500,0.6000,0.6667,0.7857,0.7333,0.7586,0.0000,0.0000,0.0000
Ex 254,0.2500,0.6667,0.3636,0.6667,0.8000,0.7273,0.0000,0.0000,0.0000
Ex 255,0.4762,0.9091,0.6250,0.5370,0.5000,0.5179,0.0000,0.0000,0.0000
Ex 256,0.7500,1.0000,0.8571,0.9000,0.5625,0.6923,1.0000,1.0000,1.0000
Ex 257,0.4286,1.0000,0.6000,0.8750,0.6364,0.7368,0.0000,0.0000,0.0000
Ex 258,1.0000,1.0000,1.0000,0.4706,0.3636,0.4103,0.0000,0.0000,0.0000
Ex 259,1.0000,0.8333,0.9091,0.7917,0.7917,0.7917,0.0000,0.0000,0.0000
Ex 260,0.8000,1.0000,0.8889,0.9333,0.6667,0.7778,0.0000,0.0000,0.0000
Ex 261,0.8333,1.0000,0.9091,0.7500,0.4737,0.5806,1.0000,0.5000,0.6667
Ex 262,0.8571,0.7500,0.8000,0.9048,0.6786,0.7755,0.0000,0.0000,0.0000
Ex 263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 264,0.8333,0.7143,0.7692,0.5833,0.6364,0.6087,0.0000,0.0000,0.0000
Ex 265,0.8000,0.8000,0.8000,0.8182,0.6923,0.7500,0.0000,0.0000,0.0000
Ex 266,0.6000,1.0000,0.7500,0.7500,0.8182,0.7826,1.0000,0.5000,0.6667
Ex 267,0.7500,1.0000,0.8571,0.7143,0.8333,0.7692,1.0000,0.5000,0.6667
Ex 268,0.4444,0.8000,0.5714,0.8000,0.8571,0.8276,0.5000,0.2500,0.3333
Ex 269,0.7500,1.0000,0.8571,0.6000,0.8182,0.6923,0.0000,0.0000,0.0000
Ex 270,0.5000,0.5000,0.5000,0.5000,0.3636,0.4211,0.0000,0.0000,0.0000
Ex 271,0.3333,0.6667,0.4444,0.7143,0.5000,0.5882,1.0000,0.5000,0.6667
Ex 272,0.7500,1.0000,0.8571,0.6250,0.7500,0.6818,0.0000,0.0000,0.0000
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
Ex 274,0.5000,0.5000,0.5000,0.7500,1.0000,0.8571,1.0000,0.3333,0.5000
Ex 275,0.7500,1.0000,0.8571,0.5882,0.5882,0.5882,1.0000,1.0000,1.0000
Ex 276,0.6667,0.8000,0.7273,0.5909,0.5652,0.5778,0.0000,0.0000,0.0000
Ex 277,0.6250,0.7143,0.6667,0.5652,0.5909,0.5778,0.0000,0.0000,0.0000
Ex 278,0.4000,0.6667,0.5000,0.8571,0.8571,0.8571,0.0000,0.0000,0.0000
Ex 279,0.3333,0.5000,0.4000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000
Ex 280,0.7500,0.8571,0.8000,0.6800,0.8095,0.7391,1.0000,0.6667,0.8000
Ex 281,0.7500,1.0000,0.8571,0.3846,0.3571,0.3704,1.0000,0.5000,0.6667
Ex 282,1.0000,1.0000,1.0000,0.5882,0.6250,0.6061,1.0000,0.5000,0.6667
Ex 283,0.5000,1.0000,0.6667,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000
Ex 284,0.3333,0.2500,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 285,0.2500,0.3333,0.2857,0.6667,0.5000,0.5714,0.0000,0.0000,0.0000
Ex 286,0.7500,0.7500,0.7500,1.0000,0.7692,0.8696,0.0000,0.0000,0.0000
Ex 287,0.2500,0.2000,0.2222,0.7500,0.6000,0.6667,0.0000,0.0000,0.0000
Ex 288,0.6000,0.6000,0.6000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 289,0.7500,1.0000,0.8571,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000
Ex 290,0.6667,1.0000,0.8000,0.8571,0.6667,0.7500,1.0000,1.0000,1.0000
Ex 291,0.2857,0.5000,0.3636,0.5714,0.4444,0.5000,0.0000,0.0000,0.0000
Ex 292,0.2857,0.6667,0.4000,0.2857,0.3333,0.3077,0.0000,0.0000,0.0000
Ex 293,0.2000,0.2500,0.2222,0.8000,0.8000,0.8000,0.0000,0.0000,0.0000
Ex 294,0.8000,1.0000,0.8889,1.0000,0.6500,0.7879,0.5000,0.3333,0.4000
Ex 295,0.7500,1.0000,0.8571,0.9231,0.7500,0.8276,1.0000,0.5000,0.6667
Ex 296,0.5000,0.6667,0.5714,0.9286,0.7647,0.8387,0.0000,0.0000,0.0000
Ex 297,0.4286,0.6000,0.5000,0.5556,0.5556,0.5556,0.0000,0.0000,0.0000
