Variant,N,Ent_F1,Attr_F1,Rel_F1,Overall_F1
ToT-gpt,243,0.5808,0.5545,0.4255,0.5203
ToT-llama,250,0.6896,0.586,0.4193,0.565
multi-llms-few-shot-gpt,249,0.6918,0.6623,0.4485,0.6009
multi-llms-few-shot-llama,250,0.7803,0.7906,0.4851,0.6853
multi-llms-zero-shot-gpt,250,0.7015,0.6913,0.3687,0.5872
multi-llms-zero-shot-llama,250,0.7118,0.6679,0.4326,0.6041
one-llm-one_llm_few_shot_gpt,250,0.739,0.6865,0.4296,0.6184
one-llm-one_llm_few_shot_llama,249,0.7391,0.6783,0.4173,0.6116
one-llm-one_llm_zero_shot_gpt,250,0.7333,0.6684,0.4023,0.6013
one-llm-one_llm_zero_shot_llama,212,0.7399,0.6295,0.3905,0.5866
