exercise_id,entity_1,entity_2,x_text,x_dep,x_cooccur,label
1,Airplane,Flight,0.7213141918182373,0.333,0.5,1
1,Airplane,Crew,0.6219233274459839,0.25,0.0,0
1,Flight,Crew,0.6302369832992554,0.25,0.0,1
2,Transportation Mode,Carrier,0.44836369156837463,0.25,0.0,0
2,Transportation Mode,Multimodal Transportation Task,0.7206305265426636,0.25,0.0,0
2,Transportation Mode,Task Detail,0.5827890038490295,0.25,0.75,1
2,Transportation Mode,Task Transportation Mode,0.523779571056366,0.5,0.75,1
2,Transportation Mode,Task Carrier,0.5512742400169373,0.25,0.75,0
2,Carrier,Multimodal Transportation Task,0.6967978477478027,0.25,0.25,0
2,Carrier,Task Detail,0.4249367117881775,0.25,0.25,1
2,Carrier,Task Transportation Mode,0.48667892813682556,0.25,0.25,0
2,Carrier,Task Carrier,0.38201963901519775,0.5,0.25,1
2,Multimodal Transportation Task,Task Detail,0.8190996050834656,0.2,0.0,1
2,Multimodal Transportation Task,Task Transportation Mode,0.7791256904602051,0.2,0.0,1
2,Multimodal Transportation Task,Task Carrier,0.8173916339874268,0.2,0.0,1
2,Task Detail,Task Transportation Mode,0.5696369409561157,0.25,0.0,0
2,Task Detail,Task Carrier,0.43496960401535034,0.25,0.0,0
2,Task Transportation Mode,Task Carrier,0.555752694606781,0.25,0.0,0
3,Warehouse,Goods,0.7396377325057983,0.143,0.25,0
3,Warehouse,Loader,0.6943722367286682,0.25,0.0,0
3,Warehouse,transaction record,0.6145585179328918,0.25,0.25,1
3,Warehouse,good transaction record details,0.5939890146255493,0.25,0.25,0
3,Warehouse,stevedore-transaction record,0.480524480342865,0.25,0.25,0
3,Goods,Loader,0.41020888090133667,0.25,0.0,0
3,Goods,transaction record,0.3471069633960724,0.25,0.25,0
3,Goods,good transaction record details,0.35145360231399536,1.0,0.25,1
3,Goods,stevedore-transaction record,0.28405290842056274,0.25,0.25,0
3,Loader,transaction record,0.4264286160469055,0.25,0.0,0
3,Loader,good transaction record details,0.4384618401527405,0.25,0.0,0
3,Loader,stevedore-transaction record,0.34878411889076233,0.25,0.0,1
3,transaction record,good transaction record details,0.19715198874473572,0.5,0.25,1
3,transaction record,stevedore-transaction record,0.15190839767456055,0.5,0.0,1
3,good transaction record details,stevedore-transaction record,0.1810961365699768,0.167,0.0,0
4,Customer,Service Plan,0.8546680212020874,0.25,0.5,0
4,Customer,Subscription Record,0.6509047150611877,0.25,0.5,1
4,Service Plan,Subscription Record,0.6888258457183838,0.25,0.25,1
5,Service,User,0.72547847032547,0.25,0.25,0
5,Service,Service usage record,0.6576632857322693,0.5,0.5,1
5,User,Service usage record,0.5886141061782837,0.25,0.25,1
6,project,developer,0.7394288182258606,0.25,0.333,0
6,project,project progress,0.6858818531036377,0.333,0.333,1
6,developer,project progress,0.7099966406822205,0.25,0.333,1
7,Advertising Client,Advertisement,0.8716917037963867,0.333,0.333,1
7,Advertising Client,Client Broadcast Record,0.8030635714530945,0.2,0.333,1
7,Advertisement,Client Broadcast Record,0.8247548341751099,0.25,1.0,1
