Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.5000,0.6667,0.5714,1.0000,0.9000,0.9474,0.0000,0.0000,0.0000
Ex 252,0.8000,0.8000,0.8000,1.0000,0.9545,0.9767,1.0000,0.6000,0.7500
Ex 253,0.7500,0.6000,0.6667,0.7333,0.7333,0.7333,1.0000,0.1667,0.2857
Ex 254,0.4000,0.6667,0.5000,0.6667,0.8000,0.7273,0.0000,0.0000,0.0000
Ex 255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 256,1.0000,1.0000,1.0000,0.8000,0.5000,0.6154,1.0000,1.0000,1.0000
Ex 257,0.5000,1.0000,0.6667,0.7895,0.6818,0.7317,1.0000,1.0000,1.0000
Ex 258,0.7500,1.0000,0.8571,0.6316,0.5455,0.5854,1.0000,1.0000,1.0000
Ex 259,1.0000,0.6667,0.8000,0.7619,0.8000,0.7805,0.6667,0.3333,0.4444
Ex 260,0.6000,0.7500,0.6667,0.9231,0.8000,0.8571,1.0000,0.6667,0.8000
Ex 261,0.8000,0.8000,0.8000,0.7778,0.4375,0.5600,1.0000,0.5000,0.6667
Ex 262,1.0000,0.6250,0.7692,0.8000,0.8000,0.8000,1.0000,0.4286,0.6000
Ex 263,0.2857,0.4000,0.3333,1.0000,0.2500,0.4000,0.0000,0.0000,0.0000
Ex 264,0.7143,0.7143,0.7143,0.6500,0.6500,0.6500,1.0000,0.5000,0.6667
Ex 265,0.8000,0.8000,0.8000,0.7692,0.7692,0.7692,1.0000,1.0000,1.0000
Ex 266,0.7500,1.0000,0.8571,0.6923,0.8182,0.7500,1.0000,1.0000,1.0000
Ex 267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 268,0.5000,0.6000,0.5455,0.6429,0.8182,0.7200,0.5000,0.2500,0.3333
Ex 269,0.6667,0.6667,0.6667,0.7273,1.0000,0.8421,1.0000,0.5000,0.6667
Ex 270,1.0000,0.7500,0.8571,0.5000,0.4286,0.4615,1.0000,0.5000,0.6667
Ex 271,0.7500,1.0000,0.8571,0.7500,0.4000,0.5217,1.0000,1.0000,1.0000
Ex 272,0.7500,0.5000,0.6000,0.7273,0.8000,0.7619,1.0000,0.4000,0.5714
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
Ex 274,0.5000,0.5000,0.5000,0.8182,1.0000,0.9000,1.0000,0.3333,0.5000
Ex 275,0.5000,0.6667,0.5714,0.7273,0.6667,0.6957,1.0000,0.5000,0.6667
Ex 276,0.8333,1.0000,0.9091,0.5417,0.4815,0.5098,0.7500,0.6000,0.6667
