Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.7500,1.0000,0.8571,0.9333,0.8235,0.8750,1.0000,1.0000,1.0000
Ex 252,0.7500,0.6000,0.6667,0.8947,1.0000,0.9444,1.0000,0.2000,0.3333
Ex 253,1.0000,1.0000,1.0000,0.8077,0.8750,0.8400,1.0000,0.5000,0.6667
Ex 254,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Ex 255,0.9000,0.8182,0.8571,0.8958,0.8600,0.8776,0.8571,0.5455,0.6667
Ex 256,1.0000,1.0000,1.0000,1.0000,0.8125,0.8966,1.0000,1.0000,1.0000
Ex 257,1.0000,1.0000,1.0000,0.8947,0.7727,0.8293,1.0000,1.0000,1.0000
Ex 258,1.0000,1.0000,1.0000,0.4118,0.3182,0.3590,1.0000,1.0000,1.0000
Ex 259,0.6667,0.6667,0.6667,0.7368,0.7000,0.7179,1.0000,0.3333,0.5000
Ex 260,1.0000,1.0000,1.0000,0.9091,0.9524,0.9302,1.0000,1.0000,1.0000
Ex 261,1.0000,0.6000,0.7500,0.9000,0.7500,0.8182,0.5000,0.2500,0.3333
Ex 262,1.0000,0.7500,0.8571,0.8400,0.7241,0.7778,1.0000,0.5714,0.7273
Ex 263,0.2000,0.2000,0.2000,1.0000,0.2500,0.4000,0.0000,0.0000,0.0000
Ex 264,0.8000,0.5714,0.6667,0.5500,0.6471,0.5946,1.0000,0.3333,0.5000
Ex 265,1.0000,0.8000,0.8889,0.7500,0.6923,0.7200,0.6667,0.6667,0.6667
Ex 266,1.0000,1.0000,1.0000,0.8182,0.8182,0.8182,1.0000,1.0000,1.0000
Ex 267,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000
Ex 268,0.7500,0.6000,0.6667,0.7273,0.7273,0.7273,0.5000,0.2500,0.3333
Ex 269,1.0000,1.0000,1.0000,0.7000,0.6364,0.6667,1.0000,1.0000,1.0000
Ex 270,0.5000,0.7500,0.6000,0.5714,0.2857,0.3810,1.0000,0.2500,0.4000
Ex 271,0.6667,0.6667,0.6667,0.6250,0.5000,0.5556,1.0000,0.5000,0.6667
Ex 272,1.0000,0.5000,0.6667,0.9091,1.0000,0.9524,1.0000,0.4000,0.5714
Ex 273,1.0000,1.0000,1.0000,0.8333,0.6250,0.7143,1.0000,1.0000,1.0000
Ex 274,1.0000,1.0000,1.0000,0.8824,0.8824,0.8824,1.0000,1.0000,1.0000
Ex 275,1.0000,1.0000,1.0000,0.8889,0.9412,0.9143,1.0000,1.0000,1.0000
Ex 276,1.0000,0.8000,0.8889,0.5769,0.6522,0.6122,1.0000,0.4000,0.5714
Ex 277,0.7500,0.4286,0.5455,0.7647,0.8125,0.7879,0.0000,0.0000,0.0000
Ex 278,0.4000,0.6667,0.5000,1.0000,1.0000,1.0000,1.0000,0.5000,0.6667
Ex 279,0.5000,0.5000,0.5000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000
