Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.6000,1.0000,0.7500,0.7059,0.7059,0.7059,1.0000,0.5000,0.6667
Ex 252,0.8000,0.8000,0.8000,0.4857,0.8095,0.6071,0.6667,0.4000,0.5000
Ex 253,1.0000,1.0000,1.0000,0.6957,0.6667,0.6809,0.7500,0.5000,0.6000
Ex 254,1.0000,1.0000,1.0000,0.7692,0.6250,0.6897,1.0000,1.0000,1.0000
Ex 255,0.9000,0.8182,0.8571,0.6863,0.7000,0.6931,1.0000,0.5455,0.7059
Ex 256,0.7500,1.0000,0.8571,0.9231,0.7500,0.8276,1.0000,1.0000,1.0000
Ex 257,0.4286,1.0000,0.6000,0.8421,0.7273,0.7805,1.0000,1.0000,1.0000
Ex 258,0.7500,1.0000,0.8571,0.5714,0.3636,0.4444,1.0000,0.5000,0.6667
Ex 259,0.6667,0.6667,0.6667,0.7368,0.7000,0.7179,0.5000,0.1667,0.2500
Ex 260,0.5000,0.5000,0.5000,0.7000,0.5833,0.6364,0.0000,0.0000,0.0000
Ex 261,1.0000,0.6000,0.7500,0.3571,0.4167,0.3846,0.5000,0.2500,0.3333
Ex 262,1.0000,0.6250,0.7692,0.7391,0.7083,0.7234,0.7500,0.4286,0.5455
Ex 263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 264,0.8333,0.7143,0.7692,0.4412,0.6818,0.5357,0.6667,0.3333,0.4444
Ex 265,0.7143,1.0000,0.8333,0.7857,0.6875,0.7333,0.5000,0.3333,0.4000
Ex 266,0.7500,1.0000,0.8571,0.6923,0.8182,0.7500,1.0000,1.0000,1.0000
Ex 267,0.6667,0.6667,0.6667,0.8182,1.0000,0.9000,0.0000,0.0000,0.0000
Ex 268,0.5000,0.6000,0.5455,0.5833,0.6364,0.6087,0.5000,0.2500,0.3333
Ex 269,0.5000,0.6667,0.5714,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 270,0.7500,0.7500,0.7500,0.6667,0.4286,0.5217,1.0000,0.2500,0.4000
Ex 271,0.7500,1.0000,0.8571,0.5333,0.5333,0.5333,1.0000,1.0000,1.0000
Ex 272,0.7500,0.5000,0.6000,0.6000,0.6000,0.6000,1.0000,0.4000,0.5714
Ex 273,0.5000,1.0000,0.6667,0.7143,0.6250,0.6667,1.0000,1.0000,1.0000
