Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.6000,1.0000,0.7500,0.6667,0.7059,0.6857,1.0000,0.5000,0.6667
Ex 252,0.5000,0.4000,0.4444,0.5455,0.6000,0.5714,0.0000,0.0000,0.0000
Ex 253,1.0000,0.8000,0.8889,0.7391,0.8095,0.7727,0.6667,0.3333,0.4444
Ex 254,0.3333,0.6667,0.4444,0.6154,0.8000,0.6957,0.0000,0.0000,0.0000
Ex 255,0.8889,0.7273,0.8000,0.6923,0.8182,0.7500,0.8000,0.3636,0.5000
Ex 256,1.0000,1.0000,1.0000,0.8182,0.5625,0.6667,1.0000,1.0000,1.0000
Ex 257,0.7500,1.0000,0.8571,0.7222,0.5909,0.6500,1.0000,0.5000,0.6667
Ex 258,0.6667,0.6667,0.6667,0.5833,0.5000,0.5385,1.0000,0.5000,0.6667
Ex 259,1.0000,0.6667,0.8000,0.8750,0.7000,0.7778,0.6667,0.3333,0.4444
Ex 260,0.8000,1.0000,0.8889,0.9231,0.5714,0.7059,1.0000,0.6667,0.8000
Ex 261,1.0000,0.6000,0.7500,0.7000,0.5833,0.6364,0.5000,0.2500,0.3333
Ex 262,1.0000,0.6250,0.7692,0.7619,0.6400,0.6957,1.0000,0.4286,0.6000
Ex 263,0.2000,0.2000,0.2000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 264,1.0000,0.7143,0.8333,0.6667,0.6957,0.6809,1.0000,0.3333,0.5000
Ex 265,0.7500,0.6000,0.6667,0.6000,0.6000,0.6000,1.0000,0.3333,0.5000
Ex 266,0.6000,1.0000,0.7500,0.4444,0.7273,0.5517,1.0000,0.5000,0.6667
Ex 267,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000
Ex 268,0.6000,0.6000,0.6000,0.5882,0.9091,0.7143,0.5000,0.2500,0.3333
Ex 269,1.0000,1.0000,1.0000,0.6667,0.7273,0.6957,1.0000,1.0000,1.0000
Ex 270,0.6667,1.0000,0.8000,0.4118,0.3889,0.4000,1.0000,0.7500,0.8571
Ex 271,0.7500,1.0000,0.8571,0.6429,0.6000,0.6207,1.0000,1.0000,1.0000
Ex 272,0.6667,0.6667,0.6667,0.6500,0.9286,0.7647,1.0000,0.4000,0.5714
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
Ex 274,0.5000,0.5000,0.5000,0.6667,0.8889,0.7619,1.0000,0.3333,0.5000
Ex 275,1.0000,1.0000,1.0000,0.7500,0.7059,0.7273,1.0000,1.0000,1.0000
