Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 289,0.6667,0.6667,0.6667,0.8571,0.8571,0.8571,0.0000,0.0000,0.0000
Ex 290,0.6667,1.0000,0.8000,1.0000,0.7778,0.8750,1.0000,1.0000,1.0000
Ex 291,0.6667,0.5000,0.5714,0.5714,0.4444,0.5000,0.0000,0.0000,0.0000
Ex 292,0.4000,0.6667,0.5000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000
Ex 293,0.2500,0.2500,0.2500,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 294,1.0000,0.7500,0.8571,0.8182,0.5294,0.6429,1.0000,0.6667,0.8000
Ex 295,0.5000,0.6667,0.5714,1.0000,0.7273,0.8421,0.0000,0.0000,0.0000
Ex 296,0.7500,0.5000,0.6000,0.9000,0.6429,0.7500,0.0000,0.0000,0.0000
Ex 297,0.3333,0.2000,0.2500,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000
Ex 298,1.0000,1.0000,1.0000,0.6667,0.3077,0.4211,0.7500,1.0000,0.8571
Ex 299,1.0000,1.0000,1.0000,0.9474,0.6667,0.7826,1.0000,0.5000,0.6667
Ex 300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 301,0.6000,0.7500,0.6667,0.7059,0.6316,0.6667,1.0000,0.3333,0.5000
Ex 302,1.0000,1.0000,1.0000,0.8182,0.5625,0.6667,1.0000,1.0000,1.0000
Ex 303,1.0000,0.8333,0.9091,0.7895,0.5000,0.6122,0.6667,0.4000,0.5000
Ex 304,1.0000,1.0000,1.0000,1.0000,0.5714,0.7273,1.0000,1.0000,1.0000
Ex 305,1.0000,1.0000,1.0000,0.6667,0.5882,0.6250,0.6667,0.6667,0.6667
Ex 306,0.8000,0.3636,0.5000,0.7143,0.5000,0.5882,1.0000,0.2857,0.4444
