Variant,N,Ent_F1,Attr_F1,Rel_F1,Overall_F1
ToT-gpt,243,0.5849,0.5553,0.4452,0.5285
ToT-llama,250,0.6642,0.5866,0.4428,0.5645
multi-llms-few-shot-gpt,249,0.6412,0.655,0.4715,0.5892
multi-llms-few-shot-llama,250,0.7575,0.7901,0.5283,0.692
multi-llms-zero-shot-gpt,250,0.5336,0.5573,0.3973,0.4961
multi-llms-zero-shot-llama,250,0.68,0.6626,0.4639,0.6022
one-llm-one_llm_few_shot_gpt,250,0.6971,0.6776,0.4945,0.6231
one-llm-one_llm_few_shot_llama,249,0.7051,0.6818,0.4531,0.6133
one-llm-one_llm_zero_shot_gpt,250,0.6903,0.6624,0.4586,0.6038
one-llm-one_llm_zero_shot_llama,212,0.698,0.6287,0.4298,0.5855
