Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.3333,1.0000,0.5000,0.5217,0.7059,0.6000,1.0000,1.0000,1.0000
Ex 252,0.2000,0.4000,0.2667,0.6923,0.8182,0.7500,0.0000,0.0000,0.0000
Ex 253,0.4286,0.6000,0.5000,0.5652,0.8667,0.6842,1.0000,0.1667,0.2857
Ex 254,0.2000,0.6667,0.3077,0.3913,0.9000,0.5455,0.0000,0.0000,0.0000
Ex 255,0.6250,0.9091,0.7407,0.5738,0.6604,0.6140,1.0000,0.3636,0.5333
Ex 256,0.6000,1.0000,0.7500,0.8125,0.8125,0.8125,1.0000,0.5000,0.6667
Ex 257,0.3333,1.0000,0.5000,0.5652,0.5909,0.5778,1.0000,1.0000,1.0000
Ex 258,0.2222,0.6667,0.3333,0.6429,0.6429,0.6429,0.0000,0.0000,0.0000
Ex 259,0.8333,0.8333,0.8333,0.5000,0.7500,0.6000,0.7500,0.5000,0.6000
Ex 260,0.5000,1.0000,0.6667,0.6429,0.8571,0.7347,1.0000,0.6667,0.8000
Ex 261,1.0000,1.0000,1.0000,0.3704,0.5263,0.4348,0.5000,0.2500,0.3333
Ex 262,1.0000,0.7500,0.8571,0.5833,0.7500,0.6562,0.6667,0.2857,0.4000
Ex 263,0.2000,0.4000,0.2667,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000
Ex 264,0.7000,1.0000,0.8235,0.6250,0.6452,0.6349,1.0000,0.6667,0.8000
Ex 265,0.4545,1.0000,0.6250,0.3636,0.5000,0.4211,1.0000,0.3333,0.5000
Ex 266,0.3333,1.0000,0.5000,0.2500,0.4545,0.3226,1.0000,0.5000,0.6667
Ex 267,0.3000,1.0000,0.4615,0.6667,0.8333,0.7407,0.0000,0.0000,0.0000
Ex 268,0.4444,0.8000,0.5714,0.4400,0.7857,0.5641,0.0000,0.0000,0.0000
Ex 269,0.5000,1.0000,0.6667,0.6250,0.9091,0.7407,0.0000,0.0000,0.0000
Ex 270,0.2500,0.5000,0.3333,0.3750,0.5455,0.4444,0.0000,0.0000,0.0000
Ex 271,0.6000,1.0000,0.7500,0.5000,0.6667,0.5714,1.0000,1.0000,1.0000
Ex 272,0.3333,0.6667,0.4444,0.4583,0.7857,0.5789,1.0000,0.2000,0.3333
Ex 273,0.4000,1.0000,0.5714,0.4444,0.5000,0.4706,1.0000,1.0000,1.0000
Ex 274,0.3333,0.5000,0.4000,0.7778,0.7778,0.7778,1.0000,0.3333,0.5000
Ex 275,0.2222,0.6667,0.3333,0.4000,0.3333,0.3636,1.0000,0.5000,0.6667
Ex 276,0.3750,0.6000,0.4615,0.3846,0.5556,0.4545,0.0000,0.0000,0.0000
Ex 277,0.4545,0.7143,0.5556,0.5172,0.6818,0.5882,0.3333,0.1667,0.2222
Ex 278,0.4000,0.6667,0.5000,0.5000,0.5714,0.5333,1.0000,0.5000,0.6667
Ex 279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 280,0.3333,0.1429,0.2000,0.3333,0.4000,0.3636,0.0000,0.0000,0.0000
Ex 281,0.4286,1.0000,0.6000,0.3333,0.4286,0.3750,1.0000,0.5000,0.6667
Ex 282,0.7143,1.0000,0.8333,0.8333,0.9375,0.8824,1.0000,1.0000,1.0000
Ex 283,0.5000,1.0000,0.6667,1.0000,0.8667,0.9286,0.0000,0.0000,0.0000
Ex 284,0.2500,0.5000,0.3333,0.1111,0.2000,0.1429,0.0000,0.0000,0.0000
Ex 285,0.1250,0.3333,0.1818,0.2000,0.2500,0.2222,0.0000,0.0000,0.0000
Ex 286,0.6000,0.7500,0.6667,0.5000,0.7692,0.6061,0.0000,0.0000,0.0000
Ex 287,0.3333,0.4000,0.3636,0.5000,0.6667,0.5714,1.0000,0.2500,0.4000
Ex 288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 289,0.4286,1.0000,0.6000,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000
Ex 290,0.4000,1.0000,0.5714,0.5714,0.8889,0.6957,0.0000,0.0000,0.0000
Ex 291,0.3333,0.5000,0.4000,0.3000,0.3333,0.3158,0.0000,0.0000,0.0000
Ex 292,0.2500,0.6667,0.3636,0.0667,0.1667,0.0952,0.0000,0.0000,0.0000
Ex 293,0.1111,0.2500,0.1538,0.4000,0.4000,0.4000,0.0000,0.0000,0.0000
Ex 294,0.4444,1.0000,0.6154,0.7000,0.7000,0.7000,0.5000,0.3333,0.4000
Ex 295,0.5000,1.0000,0.6667,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000
Ex 296,0.1818,0.3333,0.2353,0.8000,0.8000,0.8000,0.0000,0.0000,0.0000
Ex 297,0.3750,0.6000,0.4615,0.3529,0.6667,0.4615,0.0000,0.0000,0.0000
Ex 298,0.7500,1.0000,0.8571,0.5789,0.8462,0.6875,1.0000,1.0000,1.0000
Ex 299,0.4286,1.0000,0.6000,0.4783,0.4074,0.4400,1.0000,0.5000,0.6667
Ex 300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 301,0.2222,0.5000,0.3077,0.4500,0.6000,0.5143,0.0000,0.0000,0.0000
Ex 302,0.3636,0.8000,0.5000,0.7778,0.8077,0.7925,1.0000,0.2500,0.4000
Ex 303,0.7500,1.0000,0.8571,0.5000,0.7576,0.6024,1.0000,0.2000,0.3333
Ex 304,0.5000,1.0000,0.6667,0.2353,0.2857,0.2581,1.0000,1.0000,1.0000
Ex 305,0.8000,1.0000,0.8889,0.4400,0.6471,0.5238,0.7500,1.0000,0.8571
Ex 306,0.9091,0.9091,0.9091,0.7000,0.6604,0.6796,0.6667,0.8571,0.7500
Ex 308,0.5000,0.6000,0.5455,0.8235,0.7778,0.8000,1.0000,0.2000,0.3333
Ex 309,0.2143,0.6000,0.3158,0.5500,0.6471,0.5946,0.0000,0.0000,0.0000
Ex 310,0.6667,1.0000,0.8000,0.9286,0.8667,0.8966,0.0000,0.0000,0.0000
Ex 311,0.3000,1.0000,0.4615,0.4667,0.8235,0.5957,1.0000,0.6667,0.8000
Ex 312,0.7500,1.0000,0.8571,0.5833,0.7778,0.6667,1.0000,0.5000,0.6667
Ex 313,0.4615,0.8571,0.6000,0.2326,0.5882,0.3333,1.0000,0.5000,0.6667
Ex 314,0.5714,1.0000,0.7273,0.5000,0.4375,0.4667,1.0000,0.6000,0.7500
Ex 315,0.1111,0.2500,0.1538,0.8000,0.5714,0.6667,0.0000,0.0000,0.0000
Ex 316,0.6667,0.8000,0.7273,0.5652,0.8667,0.6842,1.0000,0.5000,0.6667
Ex 317,0.2000,0.5000,0.2857,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000
Ex 318,0.5000,1.0000,0.6667,0.3636,0.6667,0.4706,1.0000,0.5000,0.6667
Ex 319,0.2500,1.0000,0.4000,0.8571,0.6000,0.7059,1.0000,1.0000,1.0000
Ex 320,0.7143,1.0000,0.8333,0.5862,0.7083,0.6415,0.0000,0.0000,0.0000
Ex 321,0.0526,0.2000,0.0833,0.5556,0.8333,0.6667,0.0000,0.0000,0.0000
