Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.5000,0.6667,0.5714,1.0000,0.9000,0.9474,0.0000,0.0000,0.0000
Ex 252,0.8000,0.8000,0.8000,1.0000,0.9545,0.9767,1.0000,0.6000,0.7500
Ex 253,0.7500,0.6000,0.6667,0.7333,0.7333,0.7333,0.0000,0.0000,0.0000
Ex 254,0.3333,0.6667,0.4444,0.6667,0.8000,0.7273,0.0000,0.0000,0.0000
Ex 255,0.5238,1.0000,0.6875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 256,1.0000,1.0000,1.0000,0.8000,0.5000,0.6154,1.0000,1.0000,1.0000
Ex 257,0.4286,1.0000,0.6000,0.7895,0.6818,0.7317,1.0000,1.0000,1.0000
Ex 258,0.7500,1.0000,0.8571,0.6316,0.5455,0.5854,1.0000,0.5000,0.6667
Ex 259,1.0000,0.8333,0.9091,0.7600,0.7917,0.7755,0.6667,0.3333,0.4444
Ex 260,0.5714,1.0000,0.7273,0.9333,0.6667,0.7778,1.0000,0.6667,0.8000
Ex 261,0.8333,1.0000,0.9091,0.7500,0.4737,0.5806,1.0000,0.5000,0.6667
Ex 262,1.0000,0.7500,0.8571,0.7857,0.7857,0.7857,1.0000,0.2857,0.4444
Ex 263,0.2222,0.4000,0.2857,1.0000,0.2500,0.4000,0.0000,0.0000,0.0000
Ex 264,0.7500,0.8571,0.8000,0.6800,0.6800,0.6800,1.0000,0.5000,0.6667
Ex 265,0.5000,1.0000,0.6667,0.6875,0.6875,0.6875,1.0000,1.0000,1.0000
Ex 266,0.7500,1.0000,0.8571,0.6923,0.8182,0.7500,1.0000,1.0000,1.0000
Ex 267,0.7500,1.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 268,0.5714,0.8000,0.6667,0.6667,0.7143,0.6897,0.5000,0.2500,0.3333
Ex 269,0.7500,1.0000,0.8571,0.7500,0.8182,0.7826,0.0000,0.0000,0.0000
Ex 270,0.6667,0.5000,0.5714,0.5455,0.5455,0.5455,0.0000,0.0000,0.0000
Ex 271,0.6000,1.0000,0.7500,0.7500,0.4000,0.5217,1.0000,1.0000,1.0000
Ex 272,0.7500,1.0000,0.8571,0.6957,0.8000,0.7442,1.0000,0.2000,0.3333
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
Ex 274,0.5000,0.5000,0.5000,0.8182,1.0000,0.9000,1.0000,0.3333,0.5000
Ex 275,0.5000,0.6667,0.5714,0.7273,0.6667,0.6957,1.0000,0.5000,0.6667
Ex 276,0.8333,1.0000,0.9091,0.5417,0.4815,0.5098,0.6667,0.4000,0.5000
