Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.6000,1.0000,0.7500,0.6667,0.7059,0.6857,1.0000,0.5000,0.6667
Ex 252,0.6000,0.6000,0.6000,0.5294,0.6000,0.5625,0.0000,0.0000,0.0000
Ex 253,1.0000,0.8000,0.8889,0.7391,0.8095,0.7727,0.6667,0.3333,0.4444
Ex 254,0.3333,0.6667,0.4444,0.6154,0.8000,0.6957,0.0000,0.0000,0.0000
Ex 255,0.9000,0.8182,0.8571,0.6897,0.8000,0.7407,1.0000,0.3636,0.5333
Ex 256,1.0000,1.0000,1.0000,0.8182,0.5625,0.6667,1.0000,1.0000,1.0000
Ex 257,0.6000,1.0000,0.7500,0.7222,0.5909,0.6500,1.0000,0.5000,0.6667
Ex 258,0.6667,0.6667,0.6667,0.5833,0.5000,0.5385,0.0000,0.0000,0.0000
Ex 259,1.0000,0.8333,0.9091,0.8421,0.6667,0.7442,0.6667,0.3333,0.4444
Ex 260,0.8000,1.0000,0.8889,0.9231,0.5714,0.7059,1.0000,0.6667,0.8000
Ex 261,1.0000,0.6000,0.7500,0.7000,0.5833,0.6364,0.0000,0.0000,0.0000
Ex 262,1.0000,0.7500,0.8571,0.7826,0.6429,0.7059,1.0000,0.2857,0.4444
Ex 263,0.2857,0.4000,0.3333,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 264,1.0000,0.8571,0.9231,0.6897,0.7143,0.7018,1.0000,0.3333,0.5000
Ex 265,0.5556,1.0000,0.7143,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000
Ex 266,0.6000,1.0000,0.7500,0.4444,0.7273,0.5517,1.0000,0.5000,0.6667
Ex 267,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,1.0000,0.5000,0.6667
Ex 268,0.5000,0.8000,0.6154,0.5714,0.8571,0.6857,0.0000,0.0000,0.0000
Ex 269,1.0000,1.0000,1.0000,0.6667,0.7273,0.6957,0.0000,0.0000,0.0000
Ex 270,0.5714,1.0000,0.7273,0.4118,0.3889,0.4000,1.0000,0.7500,0.8571
Ex 271,0.6000,1.0000,0.7500,0.6429,0.6000,0.6207,1.0000,1.0000,1.0000
Ex 272,0.5556,0.8333,0.6667,0.6400,0.9412,0.7619,0.0000,0.0000,0.0000
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000
Ex 274,0.5000,0.5000,0.5000,0.6667,0.8889,0.7619,1.0000,0.3333,0.5000
Ex 275,1.0000,1.0000,1.0000,0.7500,0.7059,0.7273,1.0000,1.0000,1.0000
Ex 276,0.4000,0.4000,0.4000,0.7273,0.7273,0.7273,0.0000,0.0000,0.0000
Ex 277,1.0000,0.8571,0.9231,0.5000,0.6250,0.5556,0.6667,0.3333,0.4444
Ex 278,0.4000,0.6667,0.5000,0.6429,0.6429,0.6429,1.0000,0.5000,0.6667
Ex 279,0.3333,0.5000,0.4000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000
Ex 280,1.0000,0.5714,0.7273,0.6667,0.7059,0.6857,0.0000,0.0000,0.0000
Ex 281,1.0000,1.0000,1.0000,0.3333,0.3571,0.3448,1.0000,0.5000,0.6667
Ex 282,1.0000,0.8000,0.8889,0.8571,0.8571,0.8571,1.0000,0.5000,0.6667
Ex 283,1.0000,1.0000,1.0000,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000
Ex 284,0.3333,0.2500,0.2857,0.4000,0.6667,0.5000,0.0000,0.0000,0.0000
Ex 285,0.3333,0.3333,0.3333,0.4000,0.5000,0.4444,0.0000,0.0000,0.0000
Ex 286,0.7500,0.7500,0.7500,1.0000,0.8462,0.9167,0.0000,0.0000,0.0000
Ex 287,0.4000,0.4000,0.4000,0.6000,0.6667,0.6316,1.0000,0.2500,0.4000
Ex 288,0.4000,0.4000,0.4000,0.8750,0.8750,0.8750,0.0000,0.0000,0.0000
Ex 289,0.7500,1.0000,0.8571,0.7273,0.6667,0.6957,0.0000,0.0000,0.0000
Ex 290,1.0000,1.0000,1.0000,1.0000,0.7778,0.8750,0.0000,0.0000,0.0000
Ex 291,0.6000,0.7500,0.6667,0.3571,0.3571,0.3571,1.0000,0.3333,0.5000
Ex 292,0.2500,0.3333,0.2857,0.4000,0.6667,0.5000,0.0000,0.0000,0.0000
Ex 293,0.2500,0.2500,0.2500,0.5714,0.8000,0.6667,0.0000,0.0000,0.0000
Ex 294,1.0000,1.0000,1.0000,0.9412,0.8000,0.8649,1.0000,0.3333,0.5000
Ex 295,0.7500,1.0000,0.8571,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000
Ex 296,0.4000,0.3333,0.3636,0.8182,0.9000,0.8571,0.0000,0.0000,0.0000
Ex 297,0.6000,0.6000,0.6000,0.4167,0.6250,0.5000,1.0000,0.2500,0.4000
Ex 298,1.0000,1.0000,1.0000,0.9231,0.9231,0.9231,1.0000,0.6667,0.8000
Ex 299,1.0000,1.0000,1.0000,0.8214,0.8519,0.8364,0.0000,0.0000,0.0000
Ex 300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 301,0.7500,0.7500,0.7500,0.5417,0.6842,0.6047,1.0000,0.3333,0.5000
Ex 302,0.5714,0.8000,0.6667,0.8261,0.7308,0.7755,1.0000,0.2500,0.4000
Ex 303,1.0000,1.0000,1.0000,0.8182,0.8182,0.8182,0.0000,0.0000,0.0000
Ex 304,1.0000,1.0000,1.0000,0.6667,0.5714,0.6154,1.0000,0.5000,0.6667
Ex 305,1.0000,0.7500,0.8571,0.6000,0.8000,0.6857,0.6667,0.6667,0.6667
