Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 251,0.6000,1.0000,0.7500,0.8750,0.8235,0.8485,1.0000,0.5000,0.6667
Ex 252,0.8000,0.8000,0.8000,1.0000,0.5909,0.7429,1.0000,0.2000,0.3333
Ex 253,1.0000,1.0000,1.0000,0.7619,0.6667,0.7111,0.7500,0.5000,0.6000
Ex 254,0.4000,0.6667,0.5000,0.8750,0.7000,0.7778,0.0000,0.0000,0.0000
Ex 256,0.7500,1.0000,0.8571,0.9091,0.6250,0.7407,1.0000,1.0000,1.0000
Ex 257,0.7500,1.0000,0.8571,0.7647,0.5909,0.6667,1.0000,1.0000,1.0000
Ex 258,1.0000,1.0000,1.0000,0.3333,0.1818,0.2353,0.0000,0.0000,0.0000
Ex 259,0.8333,0.8333,0.8333,0.8421,0.6667,0.7442,1.0000,0.1667,0.2857
Ex 260,0.8000,1.0000,0.8889,0.8571,0.5714,0.6857,1.0000,0.6667,0.8000
Ex 261,1.0000,0.6000,0.7500,0.7000,0.5833,0.6364,0.0000,0.0000,0.0000
Ex 262,1.0000,0.7500,0.8571,0.9444,0.6071,0.7391,1.0000,0.4286,0.6000
Ex 263,0.4000,0.4000,0.4000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 264,0.8333,0.7143,0.7692,0.6190,0.5909,0.6047,1.0000,0.3333,0.5000
Ex 265,0.6250,1.0000,0.7692,0.5000,0.5625,0.5294,0.6667,0.6667,0.6667
Ex 266,0.6000,1.0000,0.7500,0.5556,0.4545,0.5000,1.0000,1.0000,1.0000
Ex 267,0.7500,1.0000,0.8571,0.5833,0.5833,0.5833,1.0000,0.5000,0.6667
Ex 268,0.5714,0.8000,0.6667,0.5882,0.7143,0.6452,0.5000,0.2500,0.3333
Ex 269,0.7500,1.0000,0.8571,0.7500,0.5455,0.6316,1.0000,0.5000,0.6667
Ex 270,0.5000,0.5000,0.5000,0.7500,0.5455,0.6316,0.0000,0.0000,0.0000
Ex 271,0.6000,1.0000,0.7500,0.5455,0.4000,0.4615,1.0000,1.0000,1.0000
Ex 272,0.8571,1.0000,0.9231,0.7222,0.6500,0.6842,1.0000,0.2000,0.3333
Ex 273,0.6667,1.0000,0.8000,1.0000,0.8750,0.9333,1.0000,1.0000,1.0000
Ex 274,0.7500,0.7500,0.7500,1.0000,0.6154,0.7619,0.5000,0.3333,0.4000
Ex 275,0.7500,1.0000,0.8571,0.6923,0.5294,0.6000,1.0000,1.0000,1.0000
Ex 276,1.0000,0.8000,0.8889,0.5625,0.3913,0.4615,0.5000,0.2000,0.2857
Ex 277,1.0000,0.7143,0.8333,0.7368,0.6364,0.6829,0.3333,0.1667,0.2222
Ex 278,0.4000,0.6667,0.5000,1.0000,0.7857,0.8800,0.0000,0.0000,0.0000
Ex 279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 280,0.8000,0.5714,0.6667,0.6667,0.4706,0.5517,0.0000,0.0000,0.0000
Ex 281,0.6667,0.6667,0.6667,0.8333,0.5556,0.6667,0.0000,0.0000,0.0000
Ex 282,1.0000,0.8000,0.8889,0.8571,0.8571,0.8571,1.0000,0.5000,0.6667
Ex 283,0.6000,1.0000,0.7500,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000
Ex 284,0.2000,0.2500,0.2222,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000
Ex 285,0.3333,0.3333,0.3333,0.5000,0.2500,0.3333,0.0000,0.0000,0.0000
Ex 286,0.8000,1.0000,0.8889,0.9286,0.8667,0.8966,1.0000,0.6667,0.8000
Ex 287,0.2500,0.2000,0.2222,0.6667,0.4000,0.5000,0.0000,0.0000,0.0000
Ex 288,0.6000,0.6000,0.6000,1.0000,0.3333,0.5000,0.0000,0.0000,0.0000
Ex 289,1.0000,1.0000,1.0000,0.8182,0.7500,0.7826,0.0000,0.0000,0.0000
Ex 290,0.6667,1.0000,0.8000,0.7778,0.7778,0.7778,0.0000,0.0000,0.0000
Ex 291,0.7500,0.7500,0.7500,0.6000,0.4286,0.5000,0.5000,0.3333,0.4000
Ex 292,0.2000,0.3333,0.2500,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
Ex 293,0.2500,0.2500,0.2500,0.7500,0.6000,0.6667,0.0000,0.0000,0.0000
Ex 294,1.0000,1.0000,1.0000,0.9091,0.5000,0.6452,1.0000,0.3333,0.5000
Ex 295,0.6000,1.0000,0.7500,1.0000,0.6875,0.8148,0.0000,0.0000,0.0000
Ex 296,0.6000,0.5000,0.5455,1.0000,0.7143,0.8333,0.0000,0.0000,0.0000
Ex 297,0.4000,0.4000,0.4000,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000
Ex 298,0.7500,1.0000,0.8571,0.7500,0.4615,0.5714,0.6667,0.6667,0.6667
Ex 299,1.0000,1.0000,1.0000,0.9091,0.7407,0.8163,0.0000,0.0000,0.0000
Ex 300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 301,0.5000,0.5000,0.5000,0.7143,0.6667,0.6897,0.0000,0.0000,0.0000
Ex 302,1.0000,1.0000,1.0000,0.8182,0.5625,0.6667,0.7500,0.7500,0.7500
Ex 303,1.0000,1.0000,1.0000,0.8462,0.6667,0.7458,0.5000,0.2000,0.2857
Ex 304,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Ex 305,0.7500,0.7500,0.7500,0.7857,0.7333,0.7586,0.6667,0.6667,0.6667
Ex 306,0.8333,0.4545,0.5882,0.9412,0.5161,0.6667,0.3333,0.1429,0.2000
Ex 307,0.3333,0.3333,0.3333,1.0000,0.6429,0.7826,0.0000,0.0000,0.0000
Ex 308,0.7500,0.6000,0.6667,1.0000,0.7222,0.8387,1.0000,0.2000,0.3333
Ex 309,0.3333,0.4000,0.3636,0.8571,0.5000,0.6316,0.0000,0.0000,0.0000
Ex 310,1.0000,1.0000,1.0000,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000
Ex 311,0.7500,1.0000,0.8571,1.0000,0.8824,0.9375,1.0000,0.3333,0.5000
Ex 312,1.0000,1.0000,1.0000,0.8750,0.7778,0.8235,0.0000,0.0000,0.0000
Ex 313,0.8571,0.8571,0.8571,0.4000,0.4706,0.4324,1.0000,0.5000,0.6667
Ex 314,0.8000,1.0000,0.8889,0.7273,0.5000,0.5926,1.0000,0.6000,0.7500
Ex 315,0.4000,0.5000,0.4444,0.7500,0.5000,0.6000,0.0000,0.0000,0.0000
Ex 316,0.8000,0.8000,0.8000,0.7059,0.8000,0.7500,1.0000,0.5000,0.6667
Ex 317,0.3333,0.5000,0.4000,0.8000,0.6667,0.7273,0.0000,0.0000,0.0000
Ex 318,0.7500,1.0000,0.8571,1.0000,0.6667,0.8000,1.0000,0.5000,0.6667
Ex 319,0.5000,1.0000,0.6667,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 320,1.0000,1.0000,1.0000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 321,0.1667,0.2000,0.1818,0.8000,0.6667,0.7273,0.0000,0.0000,0.0000
Ex 322,1.0000,0.7143,0.8333,0.9167,0.5238,0.6667,1.0000,0.2857,0.4444
Ex 323,1.0000,1.0000,1.0000,0.8000,0.8000,0.8000,1.0000,1.0000,1.0000
Ex 324,0.2000,0.5000,0.2857,0.5000,0.2500,0.3333,0.0000,0.0000,0.0000
Ex 325,1.0000,1.0000,1.0000,1.0000,0.8571,0.9231,0.0000,0.0000,0.0000
Ex 326,0.7500,1.0000,0.8571,0.8000,0.6316,0.7059,0.0000,0.0000,0.0000
Ex 327,1.0000,1.0000,1.0000,0.9286,0.5909,0.7222,1.0000,0.2500,0.4000
Ex 328,1.0000,0.8333,0.9091,0.7241,0.5676,0.6364,1.0000,0.2500,0.4000
Ex 329,0.6000,0.7500,0.6667,1.0000,0.8182,0.9000,1.0000,0.3333,0.5000
Ex 330,1.0000,0.6000,0.7500,0.8462,0.5238,0.6471,1.0000,0.5000,0.6667
Ex 331,0.7500,0.7500,0.7500,0.3000,0.1875,0.2308,0.0000,0.0000,0.0000
Ex 332,0.6667,0.8571,0.7500,0.7500,0.5714,0.6486,1.0000,0.4286,0.6000
Ex 333,0.5000,0.5000,0.5000,0.9444,0.7083,0.8095,1.0000,0.2857,0.4444
Ex 334,1.0000,1.0000,1.0000,1.0000,0.4667,0.6364,1.0000,0.6667,0.8000
Ex 335,0.5000,1.0000,0.6667,0.7778,0.5833,0.6667,1.0000,1.0000,1.0000
Ex 336,1.0000,1.0000,1.0000,0.9394,0.9394,0.9394,1.0000,0.5000,0.6667
Ex 337,0.8000,0.8000,0.8000,0.7143,0.7692,0.7407,1.0000,0.2000,0.3333
Ex 338,0.8333,1.0000,0.9091,1.0000,0.7419,0.8519,1.0000,0.6000,0.7500
Ex 339,0.5000,0.6667,0.5714,0.3000,0.4286,0.3529,0.0000,0.0000,0.0000
Ex 340,1.0000,0.6667,0.8000,0.6818,0.7500,0.7143,0.6667,0.2500,0.3636
Ex 341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 342,1.0000,1.0000,1.0000,0.6667,0.4000,0.5000,1.0000,1.0000,1.0000
Ex 343,0.7500,0.6000,0.6667,0.7692,0.7692,0.7692,0.0000,0.0000,0.0000
Ex 344,0.6667,0.5000,0.5714,0.6667,0.4444,0.5333,1.0000,0.1250,0.2222
Ex 345,1.0000,0.6250,0.7692,0.8571,0.6316,0.7273,0.3333,0.1429,0.2000
Ex 346,0.3333,1.0000,0.5000,0.3750,0.2727,0.3158,0.0000,0.0000,0.0000
Ex 347,0.6667,0.5000,0.5714,0.4242,0.4667,0.4444,1.0000,0.0909,0.1667
Ex 348,0.4000,1.0000,0.5714,0.2857,0.2857,0.2857,0.0000,0.0000,0.0000
Ex 349,1.0000,1.0000,1.0000,0.5000,0.4348,0.4651,0.0000,0.0000,0.0000
Ex 350,0.7500,0.8571,0.8000,1.0000,0.7353,0.8475,0.0000,0.0000,0.0000
Ex 351,0.8333,1.0000,0.9091,0.3158,0.5000,0.3871,1.0000,0.2000,0.3333
Ex 352,1.0000,1.0000,1.0000,0.8500,0.6538,0.7391,1.0000,0.5000,0.6667
Ex 353,0.6000,0.6000,0.6000,0.7692,0.6250,0.6897,0.0000,0.0000,0.0000
Ex 354,0.5000,0.6667,0.5714,0.4444,0.5714,0.5000,0.0000,0.0000,0.0000
Ex 355,0.7500,0.6000,0.6667,0.8889,0.8000,0.8421,0.0000,0.0000,0.0000
Ex 356,0.2500,0.5000,0.3333,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 357,0.5000,0.4286,0.4615,0.9091,0.5556,0.6897,1.0000,0.1667,0.2857
Ex 358,0.2000,0.5000,0.2857,0.4000,0.6667,0.5000,0.0000,0.0000,0.0000
Ex 359,0.7500,1.0000,0.8571,0.6667,0.5000,0.5714,1.0000,0.3333,0.5000
Ex 360,0.7500,1.0000,0.8571,0.5000,0.5625,0.5294,1.0000,0.5000,0.6667
Ex 361,0.5000,0.7500,0.6000,0.6250,0.5263,0.5714,0.0000,0.0000,0.0000
Ex 362,1.0000,1.0000,1.0000,0.7647,0.6842,0.7222,1.0000,0.6667,0.8000
Ex 363,0.4286,0.7500,0.5455,0.8182,0.6667,0.7347,1.0000,0.2500,0.4000
Ex 364,1.0000,1.0000,1.0000,0.8333,0.7692,0.8000,1.0000,1.0000,1.0000
Ex 365,1.0000,1.0000,1.0000,1.0000,0.5556,0.7143,1.0000,0.6667,0.8000
Ex 366,1.0000,1.0000,1.0000,0.8750,0.8235,0.8485,0.5000,1.0000,0.6667
Ex 367,0.7500,1.0000,0.8571,1.0000,0.6316,0.7742,1.0000,1.0000,1.0000
Ex 368,0.8333,0.6250,0.7143,0.6000,0.3333,0.4286,1.0000,0.2222,0.3636
Ex 369,0.5000,0.7500,0.6000,0.7143,0.6250,0.6667,0.0000,0.0000,0.0000
Ex 370,0.5000,0.6000,0.5455,0.8000,0.3333,0.4706,1.0000,0.4000,0.5714
Ex 371,0.8000,1.0000,0.8889,1.0000,0.9355,0.9667,1.0000,0.6667,0.8000
Ex 372,0.6000,0.4286,0.5000,0.2667,0.3333,0.2963,0.0000,0.0000,0.0000
Ex 373,0.4000,0.2857,0.3333,0.5714,0.4000,0.4706,0.0000,0.0000,0.0000
Ex 374,1.0000,0.8750,0.9333,0.6842,0.4815,0.5652,1.0000,0.6667,0.8000
Ex 375,1.0000,1.0000,1.0000,0.7429,0.7027,0.7222,1.0000,0.8333,0.9091
Ex 376,1.0000,0.5833,0.7368,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000
Ex 377,1.0000,1.0000,1.0000,0.6250,0.7143,0.6667,1.0000,0.5000,0.6667
Ex 378,0.6667,0.4000,0.5000,0.3333,0.2857,0.3077,1.0000,0.1667,0.2857
Ex 379,1.0000,0.6000,0.7500,1.0000,0.8095,0.8947,0.0000,0.0000,0.0000
Ex 380,1.0000,1.0000,1.0000,0.7647,0.7222,0.7429,1.0000,0.6667,0.8000
Ex 381,1.0000,1.0000,1.0000,0.5000,0.6000,0.5455,1.0000,0.5000,0.6667
Ex 382,0.6667,0.6667,0.6667,0.9167,0.7857,0.8462,1.0000,0.3333,0.5000
Ex 383,0.6667,1.0000,0.8000,0.8824,0.6818,0.7692,1.0000,0.3333,0.5000
Ex 384,1.0000,0.8333,0.9091,0.8571,0.7826,0.8182,1.0000,0.8333,0.9091
Ex 385,0.5000,0.6667,0.5714,0.5714,0.4444,0.5000,0.0000,0.0000,0.0000
Ex 386,1.0000,1.0000,1.0000,1.0000,0.6471,0.7857,1.0000,0.5000,0.6667
Ex 387,1.0000,1.0000,1.0000,0.9583,0.9583,0.9583,1.0000,0.7500,0.8571
Ex 388,0.8333,0.7143,0.7692,0.7143,0.6818,0.6977,1.0000,0.1667,0.2857
Ex 389,1.0000,1.0000,1.0000,1.0000,0.8000,0.8889,1.0000,1.0000,1.0000
Ex 390,0.8000,0.8000,0.8000,0.8889,0.5714,0.6957,0.0000,0.0000,0.0000
Ex 391,1.0000,1.0000,1.0000,0.9286,0.8667,0.8966,0.0000,0.0000,0.0000
Ex 392,0.7500,0.7500,0.7500,0.6111,0.6111,0.6111,1.0000,0.5000,0.6667
Ex 393,0.6667,0.8000,0.7273,0.7778,0.5000,0.6087,0.0000,0.0000,0.0000
Ex 394,1.0000,1.0000,1.0000,0.8947,0.7083,0.7907,1.0000,0.5000,0.6667
