Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1
Ex 289,0.7500,1.0000,0.8571,0.9000,0.7500,0.8182,0.0000,0.0000,0.0000
Ex 290,0.6667,1.0000,0.8000,1.0000,0.7778,0.8750,0.0000,0.0000,0.0000
Ex 291,0.5000,0.5000,0.5000,0.5714,0.4444,0.5000,0.0000,0.0000,0.0000
Ex 292,0.2857,0.6667,0.4000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000
Ex 293,0.2500,0.2500,0.2500,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 294,1.0000,1.0000,1.0000,0.8333,0.5000,0.6250,1.0000,0.3333,0.5000
Ex 295,0.6000,1.0000,0.7500,0.9091,0.6250,0.7407,0.0000,0.0000,0.0000
Ex 296,0.6000,0.5000,0.5455,0.9000,0.6429,0.7500,0.0000,0.0000,0.0000
Ex 297,0.3333,0.4000,0.3636,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000
Ex 298,1.0000,1.0000,1.0000,0.6667,0.3077,0.4211,0.6667,0.6667,0.6667
Ex 299,1.0000,1.0000,1.0000,0.9474,0.6667,0.7826,0.0000,0.0000,0.0000
Ex 300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 301,0.6000,0.7500,0.6667,0.7059,0.6316,0.6667,1.0000,0.3333,0.5000
Ex 302,1.0000,1.0000,1.0000,0.8182,0.5625,0.6667,1.0000,0.7500,0.8571
Ex 303,1.0000,1.0000,1.0000,0.8095,0.5152,0.6296,0.0000,0.0000,0.0000
Ex 304,1.0000,1.0000,1.0000,1.0000,0.5714,0.7273,1.0000,1.0000,1.0000
Ex 305,1.0000,1.0000,1.0000,0.6667,0.5882,0.6250,0.6667,0.6667,0.6667
Ex 306,0.7778,0.6364,0.7000,0.8000,0.5517,0.6531,1.0000,0.2857,0.4444
Ex 307,0.3333,0.3333,0.3333,1.0000,0.6429,0.7826,0.0000,0.0000,0.0000
Ex 308,0.7500,0.6000,0.6667,1.0000,0.7222,0.8387,0.0000,0.0000,0.0000
Ex 309,0.3333,0.4000,0.3636,0.8333,0.4167,0.5556,0.0000,0.0000,0.0000
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000
Ex 311,0.7500,1.0000,0.8571,0.7143,0.5882,0.6452,0.0000,0.0000,0.0000
Ex 312,1.0000,1.0000,1.0000,0.5714,0.4444,0.5000,0.0000,0.0000,0.0000
Ex 313,0.8571,0.8571,0.8571,0.3750,0.3529,0.3636,1.0000,0.5000,0.6667
Ex 314,0.8000,1.0000,0.8889,0.5000,0.2500,0.3333,1.0000,0.6000,0.7500
Ex 315,0.5000,0.7500,0.6000,0.6000,0.3333,0.4286,1.0000,0.5000,0.6667
Ex 316,0.8000,0.8000,0.8000,0.6364,0.4667,0.5385,1.0000,0.5000,0.6667
Ex 317,0.3333,0.5000,0.4000,1.0000,0.6667,0.8000,0.0000,0.0000,0.0000
Ex 318,0.7500,1.0000,0.8571,1.0000,0.6667,0.8000,1.0000,0.5000,0.6667
Ex 319,0.3333,1.0000,0.5000,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000
Ex 320,1.0000,1.0000,1.0000,0.8750,0.5833,0.7000,0.0000,0.0000,0.0000
Ex 321,0.1429,0.2000,0.1667,0.5000,0.3333,0.4000,0.0000,0.0000,0.0000
Ex 322,1.0000,0.7143,0.8333,0.9167,0.5238,0.6667,0.5000,0.1429,0.2222
Ex 323,0.6667,0.6667,0.6667,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000
Ex 324,0.1667,0.5000,0.2500,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000
Ex 325,1.0000,1.0000,1.0000,0.8000,0.5714,0.6667,0.0000,0.0000,0.0000
Ex 326,0.7500,1.0000,0.8571,0.9167,0.5789,0.7097,1.0000,0.5000,0.6667
Ex 327,0.6667,1.0000,0.8000,1.0000,0.5909,0.7429,1.0000,0.2500,0.4000
Ex 328,0.6667,0.6667,0.6667,0.6667,0.5625,0.6102,1.0000,0.2500,0.4000
Ex 329,0.6000,0.7500,0.6667,1.0000,0.7273,0.8421,1.0000,0.3333,0.5000
Ex 330,1.0000,0.6000,0.7500,0.9167,0.5238,0.6667,1.0000,0.5000,0.6667
Ex 331,0.7500,0.7500,0.7500,0.1000,0.0625,0.0769,0.0000,0.0000,0.0000
Ex 332,0.7500,0.8571,0.8000,0.7273,0.3810,0.5000,1.0000,0.5714,0.7273
Ex 333,0.4286,0.5000,0.4615,0.9444,0.7083,0.8095,1.0000,0.2857,0.4444
Ex 334,1.0000,1.0000,1.0000,1.0000,0.4667,0.6364,1.0000,0.6667,0.8000
Ex 335,0.5000,1.0000,0.6667,0.7000,0.5833,0.6364,0.0000,0.0000,0.0000
Ex 336,1.0000,1.0000,1.0000,0.9355,0.8788,0.9062,1.0000,0.5000,0.6667
Ex 337,0.8000,0.8000,0.8000,0.7692,0.7692,0.7692,0.0000,0.0000,0.0000
Ex 338,0.8333,1.0000,0.9091,1.0000,0.6129,0.7600,1.0000,0.6000,0.7500
Ex 339,0.4000,0.6667,0.5000,0.2500,0.2857,0.2667,0.0000,0.0000,0.0000
Ex 340,1.0000,0.6667,0.8000,0.5714,0.4000,0.4706,0.6667,0.2500,0.3636
Ex 341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 342,1.0000,1.0000,1.0000,0.3333,0.2000,0.2500,1.0000,1.0000,1.0000
Ex 343,0.7500,0.6000,0.6667,0.7143,0.7692,0.7407,0.0000,0.0000,0.0000
Ex 344,0.6667,0.5000,0.5714,0.8000,0.4444,0.5714,0.0000,0.0000,0.0000
Ex 345,0.8000,0.5000,0.6154,0.8182,0.5625,0.6667,0.0000,0.0000,0.0000
