Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5670,0.9450,0.7088,0.8250,0.5824,0.6827,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 252,0.7560,0.7560,0.7560,0.8471,0.7200,0.7784,0.6750,0.5400,0.6000,0,0.2500,0,0
Ex 253,0.9450,0.9450,0.9450,0.7920,0.8250,0.8082,0.3600,0.3000,0.3272,1,0.6000,0,0
Ex 254,0.3150,0.9450,0.4725,0.7714,0.3375,0.4695,0.9000,0.4500,0.6000,0,0.0000,0,0
Ex 255,0.4520,0.9450,0.6115,0.8122,0.5459,0.6530,0.7200,0.3272,0.4500,0,0.1818,0,0
Ex 256,0.7088,0.9450,0.8100,0.8308,0.6750,0.7448,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 257,0.7088,0.9450,0.8100,0.9000,0.7772,0.8341,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 258,0.9450,0.9450,0.9450,0.6136,0.6136,0.6136,0.6000,0.9000,0.7200,1,0.0000,0,0
Ex 259,0.7875,0.7875,0.7875,0.8100,0.6750,0.7364,0.7200,0.6000,0.6546,0,0.2000,0,0
Ex 260,0.6300,0.9450,0.7560,0.8182,0.8572,0.8372,0.5400,0.9000,0.6750,0,0.5000,0,0
Ex 261,0.9450,0.5670,0.7088,0.9000,0.6750,0.7714,0.4500,0.4500,0.4500,0,0.3333,0,0
Ex 262,0.9450,0.8269,0.8820,0.8357,0.7313,0.7800,0.4000,0.5143,0.4500,0,0.2857,0,0
Ex 263,0.3544,0.5670,0.4362,0.5728,0.4846,0.5250,0.3000,0.2250,0.2571,0,0.0000,0,0
Ex 264,0.9450,0.8100,0.8723,0.6900,0.7393,0.7138,0.3857,0.4500,0.4154,0,0.3333,0,0
Ex 265,0.6750,0.9450,0.7875,0.8182,0.5625,0.6666,0.9000,0.9000,0.9000,0,0.2000,1,0
Ex 266,0.5670,0.9450,0.7088,0.7875,0.5728,0.6631,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 267,0.9450,0.9450,0.9450,0.8182,0.7500,0.7826,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 268,0.7560,0.7560,0.7560,0.6600,0.6188,0.6387,0.6000,0.4500,0.5143,0,0.0000,0,0
Ex 269,0.9450,0.9450,0.9450,0.8182,0.8182,0.8182,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 270,0.7560,0.9450,0.8400,0.7364,0.4500,0.5586,0.9000,0.6750,0.7714,0,0.0000,0,0
Ex 271,0.7088,0.9450,0.8100,0.8182,0.6000,0.6923,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 272,0.9450,0.9450,0.9450,0.6158,0.5850,0.6000,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 273,0.6300,0.9450,0.7560,0.9000,0.7875,0.8400,0.9000,0.9000,0.9000,0,0.5000,1,0
Ex 274,0.9450,0.7088,0.8100,0.8308,0.8308,0.8308,0.3000,0.3000,0.3000,0,0.6667,0,0
Ex 275,0.9450,0.9450,0.9450,0.9000,0.7942,0.8438,0.9000,0.9000,0.9000,1,0.6667,1,0
Ex 276,0.9450,0.9450,0.9450,0.5539,0.5333,0.5434,0.7200,0.7200,0.7200,1,0.0000,0,0
Ex 277,0.9450,0.5400,0.6873,0.6857,0.8000,0.7385,0.3000,0.1500,0.2000,0,0.0000,0,0
Ex 278,0.4725,0.6300,0.5400,0.9000,0.7714,0.8308,0.9000,0.4500,0.6000,0,0.5000,0,0
Ex 279,0.6300,0.9450,0.7560,0.9000,0.6300,0.7411,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 280,0.7560,0.5400,0.6300,0.7500,0.2647,0.3913,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 281,0.9450,0.9450,0.9450,0.4909,0.3857,0.4320,0.6000,0.9000,0.7200,1,0.0000,0,0
Ex 282,0.9450,0.5670,0.7088,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0,1.0000,0,0
Ex 283,0.7088,0.9450,0.8100,0.9000,0.7200,0.8000,0.9000,0.9000,0.9000,0,0.6667,1,0
Ex 284,0.6300,0.4725,0.5400,0.5400,0.5400,0.5400,0.9000,0.3000,0.4500,0,0.0000,0,0
Ex 285,0.6300,0.6300,0.6300,0.6000,0.6750,0.6353,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 286,0.9450,0.7088,0.8100,0.9000,0.6231,0.7364,0.4500,0.3000,0.3600,0,0.0000,0,0
Ex 287,0.7560,0.7560,0.7560,0.5400,0.3000,0.3857,0.6000,0.4500,0.5143,0,0.0000,0,0
Ex 288,0.9450,0.9450,0.9450,0.7286,0.6375,0.6800,0.7200,0.9000,0.8000,1,0.0000,0,0
Ex 289,0.9450,0.9450,0.9450,0.7200,0.6000,0.6546,0.6000,0.9000,0.7200,1,0.0000,0,0
Ex 290,0.9450,0.9450,0.9450,0.7875,0.7000,0.7411,0.9000,0.9000,0.9000,1,0.5000,1,0
Ex 291,0.9450,0.7088,0.8100,0.6923,0.6429,0.6666,0.4500,0.3000,0.3600,0,0.0000,0,0
Ex 292,0.7088,0.9450,0.8100,0.4500,0.4091,0.4286,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 293,0.9450,0.9450,0.9450,0.7800,0.6882,0.7313,0.9000,0.9000,0.9000,1,0.2500,1,0
Ex 294,0.9450,0.9450,0.9450,0.8400,0.6300,0.7200,0.6750,0.9000,0.7714,1,0.0000,0,0
Ex 295,0.5670,0.9450,0.7088,0.8357,0.7313,0.7800,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 296,0.7560,0.6300,0.6873,0.8572,0.9000,0.8780,0.0000,0.0000,0.0000,0,0.7500,0,0
Ex 297,0.9450,0.5670,0.7088,0.6000,0.6000,0.6000,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 298,0.9450,0.9450,0.9450,0.9000,0.7616,0.8250,0.9000,0.9000,0.9000,1,0.6667,1,0
Ex 299,0.4725,0.6300,0.5400,0.7000,0.2739,0.3937,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 300,0.2700,0.4725,0.3436,0.4091,0.5000,0.4500,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 301,0.7088,0.7088,0.7088,0.5400,0.5684,0.5539,0.9000,0.3000,0.4500,0,0.0000,0,0
Ex 302,0.7875,0.9450,0.8591,0.8667,0.7313,0.7933,0.4500,0.6750,0.5400,0,0.2000,0,0
Ex 303,0.8100,0.9450,0.8723,0.8280,0.6273,0.7138,0.7500,0.9000,0.8182,0,0.1667,0,0
Ex 304,0.9450,0.6300,0.7560,0.9000,0.7200,0.8000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 305,0.9450,0.9450,0.9450,0.7411,0.7411,0.7411,0.4500,0.3000,0.3600,1,0.5000,0,0
Ex 306,0.9450,0.6873,0.7958,0.8690,0.6300,0.7304,0.0000,0.0000,0.0000,0,0.3750,0,0
Ex 307,0.9450,0.9450,0.9450,0.9000,0.8234,0.8600,0.1800,0.9000,0.3000,1,0.5000,0,0
Ex 308,0.9450,0.7560,0.8400,0.9000,0.7500,0.8182,0.6750,0.5400,0.6000,0,0.2500,0,0
Ex 309,0.5400,0.7560,0.6300,0.5539,0.3429,0.4235,0.4500,0.1800,0.2571,0,0.0000,0,0
Ex 310,0.9450,0.9450,0.9450,0.9000,0.8400,0.8690,0.9000,0.9000,0.9000,1,0.5000,1,0
Ex 311,0.7088,0.9450,0.8100,0.9000,0.6882,0.7800,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 312,0.9450,0.9450,0.9450,0.7714,0.6000,0.6750,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 313,0.9450,0.5400,0.6873,0.8250,0.9000,0.8609,0.0000,0.0000,0.0000,0,0.7500,0,0
Ex 314,0.7560,0.9450,0.8400,0.6923,0.5625,0.6207,0.6000,0.3600,0.4500,0,0.2500,0,0
Ex 315,0.4725,0.4725,0.4725,0.5143,0.5539,0.5333,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 316,0.5906,0.9450,0.7269,0.6429,0.6750,0.6585,0.7200,0.9000,0.8000,0,0.0000,0,0
Ex 317,0.6300,0.9450,0.7560,0.5250,0.5250,0.5250,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 318,0.9450,0.9450,0.9450,0.9000,0.6750,0.7714,0.6000,0.9000,0.7200,1,0.3333,0,0
Ex 319,0.9450,0.9450,0.9450,0.8182,0.9000,0.8572,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 320,0.9450,0.9450,0.9450,0.9000,0.7500,0.8182,0.9000,0.9000,0.9000,1,0.2000,1,0
Ex 321,0.1890,0.7560,0.3024,0.6750,0.2250,0.3375,0.4500,0.2250,0.3000,0,0.0000,0,0
Ex 322,0.9450,0.6750,0.7875,0.7071,0.4714,0.5657,0.9000,0.3857,0.5400,0,0.0000,0,0
Ex 323,0.9450,0.9450,0.9450,0.8000,0.7200,0.7579,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 324,0.2700,0.9450,0.4200,0.6000,0.5400,0.5684,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 325,0.9450,0.9450,0.9450,0.9000,0.7714,0.8308,0.9000,0.9000,0.9000,1,0.5000,1,0
Ex 326,0.9450,0.9450,0.9450,0.9000,0.7579,0.8229,0.6000,0.9000,0.7200,1,0.3333,0,0
Ex 327,0.9450,0.9450,0.9450,0.9000,0.8182,0.8572,0.9000,0.6750,0.7714,1,0.7500,0,0
Ex 328,0.6750,0.7875,0.7269,0.8500,0.8270,0.8384,0.3000,0.4500,0.3600,0,0.2000,0,0
Ex 329,0.9450,0.9450,0.9450,0.6750,0.7200,0.6968,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 330,0.9450,0.7560,0.8400,0.6261,0.6000,0.6128,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 331,0.7088,0.7088,0.7088,0.7200,0.4000,0.5143,0.4500,0.9000,0.6000,0,0.0000,0,0
Ex 332,0.9450,0.4050,0.5670,0.9000,0.8250,0.8609,0.4500,0.1286,0.2000,0,0.6667,0,0
Ex 333,0.5906,0.7875,0.6750,0.8308,0.3375,0.4800,0.6750,0.3857,0.4909,0,0.0000,0,0
Ex 334,0.9450,0.9450,0.9450,0.9000,0.7200,0.8000,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 335,0.2363,0.4725,0.3150,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0,1.0000,0,0
Ex 336,0.9450,0.9450,0.9450,0.8455,0.8455,0.8455,0.9000,0.9000,0.9000,1,0.4000,1,0
Ex 337,0.9450,0.9450,0.9450,0.5728,0.7411,0.6461,0.9000,0.9000,0.9000,1,0.2000,1,0
Ex 338,0.9450,0.9450,0.9450,0.8654,0.7258,0.7895,0.9000,0.9000,0.9000,1,0.2000,1,0
Ex 339,0.9450,0.9450,0.9450,0.4846,0.6300,0.5478,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 340,0.9450,0.7350,0.8269,0.9000,0.7200,0.8000,0.3600,0.4500,0.4000,0,0.4286,0,0
Ex 341,0.5670,0.9450,0.7088,0.9000,0.1929,0.3176,0.4500,0.9000,0.6000,0,0.0000,0,0
Ex 342,0.9450,0.9450,0.9450,0.5728,0.6300,0.6000,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 343,0.9450,0.7560,0.8400,0.6882,0.7800,0.7313,0.6000,0.4500,0.5143,0,0.5000,0,0
Ex 344,0.6300,0.7088,0.6671,0.7435,0.6333,0.6840,0.4500,0.2250,0.3000,0,0.3333,0,0
Ex 345,0.9450,0.5906,0.7269,0.6857,0.7579,0.7200,0.1125,0.1286,0.1200,0,0.4000,0,0
Ex 346,0.3150,0.9450,0.4725,0.5625,0.4091,0.4737,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 347,0.7088,0.4725,0.5670,0.5400,0.6480,0.5890,0.2250,0.0818,0.1200,0,0.1667,0,0
Ex 348,0.4725,0.9450,0.6300,0.6750,0.3857,0.4909,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 349,0.9450,0.9450,0.9450,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,1,1.0000,1,1
Ex 350,0.9450,0.9450,0.9450,0.9000,0.9000,0.9000,0.3375,0.5400,0.4154,1,1.0000,0,0
Ex 351,0.6750,0.9450,0.7875,0.5400,0.6750,0.6000,0.7500,0.9000,0.8182,0,0.4000,0,0
Ex 352,0.9450,0.9450,0.9450,0.7200,0.6923,0.7059,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 353,0.3544,0.5670,0.4362,0.7200,0.6750,0.6968,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 354,0.7088,0.9450,0.8100,0.7000,0.5728,0.6300,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 355,0.6300,0.7560,0.6873,0.6429,0.5000,0.5625,0.4500,0.1800,0.2571,0,0.0000,0,0
Ex 356,0.6300,0.9450,0.7560,0.7875,0.6300,0.7000,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 357,0.9450,0.8100,0.8723,0.8590,0.6097,0.7133,0.6000,0.6000,0.6000,0,0.0000,0,0
Ex 358,0.4725,0.9450,0.6300,0.5728,0.3150,0.4064,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 359,0.4050,0.9450,0.5670,0.7500,0.5625,0.6429,0.6000,0.6000,0.6000,0,0.0000,0,0
Ex 360,0.4725,0.9450,0.6300,0.7313,0.7313,0.7313,0.6000,0.9000,0.7200,0,0.0000,0,0
Ex 361,0.3780,0.9450,0.5400,0.6429,0.5625,0.6000,0.6000,0.9000,0.7200,0,0.0000,0,0
Ex 362,0.9450,0.9450,0.9450,0.9000,0.8052,0.8500,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 363,0.9450,0.9450,0.9450,0.9000,0.8438,0.8709,0.9000,0.9000,0.9000,1,0.5000,1,0
Ex 364,0.9450,0.9450,0.9450,0.9000,0.7616,0.8250,0.9000,0.9000,0.9000,1,0.5000,1,0
Ex 365,0.9450,0.9450,0.9450,0.6750,0.7500,0.7106,0.9000,0.9000,0.9000,1,0.2500,1,0
Ex 366,0.9450,0.9450,0.9450,0.9000,0.6353,0.7448,0.9000,0.9000,0.9000,1,0.2500,1,0
Ex 367,0.7088,0.9450,0.8100,0.9000,0.6631,0.7637,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 368,0.7875,0.5906,0.6750,0.6750,0.7500,0.7106,0.1286,0.1000,0.1125,0,0.2000,0,0
Ex 369,0.5670,0.7088,0.6300,0.4909,0.3375,0.4000,0.4500,0.3000,0.3600,0,0.0000,0,0
Ex 370,0.9450,0.7560,0.8400,0.8500,0.8500,0.8500,0.6750,0.5400,0.6000,0,0.5000,0,0
Ex 371,0.9450,0.9450,0.9450,0.9000,0.8129,0.8543,0.9000,0.9000,0.9000,1,0.2500,1,0
Ex 372,0.6300,0.5400,0.5816,0.5400,0.5786,0.5586,0.4500,0.2250,0.3000,0,0.2500,0,0
