Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.7500,1.0000,0.8571,1.0000,0.8235,0.9032,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 252,1.0000,1.0000,1.0000,1.0000,0.9615,0.9804,1.0000,1.0000,1.0000,1,0.8000,1,0
Ex 253,0.7500,0.6000,0.6667,0.6875,0.7333,0.7097,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 254,0.6000,1.0000,0.7500,0.5833,0.8750,0.7000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 255,1.0000,0.2727,0.4286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 256,1.0000,1.0000,1.0000,1.0000,0.6250,0.7692,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 257,0.4286,1.0000,0.6000,0.8421,0.7273,0.7805,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 258,0.7500,1.0000,0.8571,0.7368,0.6364,0.6829,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 259,1.0000,0.8333,0.9091,0.8000,0.8333,0.8163,0.7500,0.5000,0.6000,0,0.4000,0,0
Ex 260,0.6667,1.0000,0.8000,0.9333,0.6667,0.7778,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 261,0.8333,1.0000,0.9091,0.8333,0.5263,0.6452,1.0000,0.7500,0.8571,0,0.2000,0,0
Ex 262,1.0000,0.7500,0.8571,0.7857,0.7857,0.7857,0.6667,0.5714,0.6154,0,0.1667,0,0
Ex 263,0.3000,0.6000,0.4000,1.0000,0.2308,0.3750,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.8750,1.0000,0.9333,0.7667,0.7419,0.7541,1.0000,1.0000,1.0000,0,0.1429,1,0
Ex 265,0.5556,1.0000,0.7143,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 266,0.7500,1.0000,0.8571,0.6923,0.8182,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 267,0.7500,1.0000,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 268,0.5714,0.8000,0.6667,0.8000,0.7500,0.7742,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 269,0.7500,1.0000,0.8571,0.7500,0.8182,0.7826,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 270,1.0000,1.0000,1.0000,0.6000,0.6667,0.6316,1.0000,0.7500,0.8571,1,0.0000,0,0
Ex 271,0.6000,1.0000,0.7500,1.0000,0.5333,0.6957,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 272,0.7500,1.0000,0.8571,0.7826,0.9000,0.8372,1.0000,1.0000,1.0000,0,0.1667,1,0
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 274,0.5000,0.5000,0.5000,0.8182,1.0000,0.9000,1.0000,0.3333,0.5000,0,0.5000,0,0
Ex 275,0.5000,0.6667,0.5714,0.9091,0.8333,0.8696,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 276,0.8333,1.0000,0.9091,0.6667,0.5926,0.6275,0.8000,0.8000,0.8000,0,0.2000,0,0
Ex 277,1.0000,0.5714,0.7273,0.7083,0.9444,0.8095,0.3333,0.1667,0.2222,0,0.5000,0,0
Ex 278,0.6000,1.0000,0.7500,0.8235,0.7368,0.7778,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 279,0.6667,1.0000,0.8000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 280,1.0000,1.0000,1.0000,0.7600,0.8261,0.7917,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 281,1.0000,1.0000,1.0000,0.8750,0.5000,0.6364,0.5000,0.5000,0.5000,1,0.0000,0,0
Ex 282,1.0000,1.0000,1.0000,0.6190,0.8125,0.7027,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 283,1.0000,1.0000,1.0000,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 284,0.3333,0.5000,0.4000,0.5000,0.8000,0.6154,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 285,0.5000,0.3333,0.4000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 286,1.0000,1.0000,1.0000,0.8571,0.8000,0.8276,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 287,0.8000,0.8000,0.8000,0.7368,0.7368,0.7368,1.0000,0.7500,0.8571,0,0.2500,0,0
Ex 288,0.7500,0.6000,0.6667,0.5556,0.7692,0.6452,0.5000,0.2500,0.3333,0,0.3333,0,0
Ex 289,0.6000,1.0000,0.7500,0.8333,0.8333,0.8333,0.6667,1.0000,0.8000,0,0.0000,0,0
Ex 290,0.6667,1.0000,0.8000,0.8571,0.6667,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 291,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 292,0.6000,1.0000,0.7500,0.5000,0.5455,0.5217,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 293,1.0000,1.0000,1.0000,0.7647,0.7647,0.7647,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 294,1.0000,1.0000,1.0000,1.0000,0.8500,0.9189,1.0000,1.0000,1.0000,1,0.2500,1,0
Ex 295,0.7500,1.0000,0.8571,0.8667,0.8125,0.8387,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 296,0.6667,0.6667,0.6667,0.9412,0.8000,0.8649,0.6667,0.3333,0.4444,0,0.0000,0,0
Ex 297,0.5000,0.6000,0.5455,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 298,0.7500,1.0000,0.8571,1.0000,0.7692,0.8696,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 299,1.0000,1.0000,1.0000,1.0000,0.8889,0.9412,1.0000,1.0000,1.0000,1,0.6667,1,0
Ex 300,0.6667,0.5000,0.5714,0.4286,0.6667,0.5217,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 301,0.6000,0.7500,0.6667,0.5217,0.6316,0.5714,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 302,0.7143,1.0000,0.8333,0.8438,0.8438,0.8438,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 303,0.8571,1.0000,0.9231,0.8966,0.7879,0.8387,0.8000,0.8000,0.8000,0,0.3333,0,0
Ex 304,1.0000,1.0000,1.0000,0.6667,0.2857,0.4000,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 305,1.0000,1.0000,1.0000,0.7000,0.8235,0.7568,0.7500,1.0000,0.8571,1,0.2500,0,0
Ex 306,0.8889,0.7273,0.8000,0.5000,0.5217,0.5106,0.7143,0.7143,0.7143,0,0.0000,0,0
Ex 307,1.0000,1.0000,1.0000,0.6829,0.5957,0.6364,0.2000,1.0000,0.3333,1,0.0000,0,0
Ex 308,1.0000,0.8000,0.8889,0.9524,0.8333,0.8889,0.7500,0.6000,0.6667,0,0.0000,0,0
Ex 309,0.5000,0.6000,0.5455,0.7647,0.7647,0.7647,0.5000,0.2000,0.2857,0,0.0000,0,0
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8667,0.9286,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 311,0.5000,1.0000,0.6667,1.0000,0.9412,0.9697,1.0000,0.6667,0.8000,0,0.6667,0,0
Ex 312,1.0000,1.0000,1.0000,0.8571,0.6667,0.7500,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 313,0.7500,0.8571,0.8000,0.7222,0.7647,0.7429,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 314,0.7500,0.7500,0.7500,0.8462,0.9167,0.8800,1.0000,0.4000,0.5714,0,0.0000,0,0
Ex 315,0.6667,0.5000,0.5714,0.4000,0.4615,0.4286,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 316,0.6667,0.8000,0.7273,0.6087,0.9333,0.7368,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 317,0.6667,1.0000,0.8000,0.9167,0.9167,0.9167,1.0000,1.0000,1.0000,0,0.5000,1,0
Ex 318,0.6000,1.0000,0.7500,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000,0,0.6667,0,0
Ex 319,1.0000,1.0000,1.0000,1.0000,0.7000,0.8235,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 320,0.8333,1.0000,0.9091,1.0000,0.8333,0.9091,1.0000,1.0000,1.0000,0,0.4000,1,0
Ex 321,0.3125,1.0000,0.4762,0.4857,0.6538,0.5574,0.5000,0.5000,0.5000,0,0.0000,0,0
Ex 322,1.0000,0.7143,0.8333,0.8947,0.8095,0.8500,1.0000,0.4286,0.6000,0,0.2000,0,0
Ex 323,1.0000,1.0000,1.0000,0.8750,0.7000,0.7778,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 324,0.2500,1.0000,0.4000,0.6000,0.6000,0.6000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 325,0.5000,1.0000,0.6667,0.7500,0.8571,0.8000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 326,0.6667,0.6667,0.6667,0.9231,0.7500,0.8276,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 327,1.0000,1.0000,1.0000,0.8824,0.6818,0.7692,0.7500,0.7500,0.7500,1,0.2500,0,0
Ex 328,0.8333,0.8333,0.8333,0.8049,0.8919,0.8462,0.5000,0.5000,0.5000,0,0.2000,0,0
Ex 329,0.6667,1.0000,0.8000,0.8824,1.0000,0.9375,1.0000,1.0000,1.0000,0,0.5000,1,0
Ex 330,1.0000,0.8000,0.8889,0.8889,0.6667,0.7619,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 331,0.6667,1.0000,0.8000,0.6296,0.7727,0.6939,0.3333,0.5000,0.4000,0,0.0000,0,0
Ex 332,0.8333,0.7143,0.7692,1.0000,0.4444,0.6154,0.5000,0.1429,0.2222,0,0.0000,0,0
Ex 333,0.6000,0.5000,0.5455,0.8125,0.5200,0.6341,1.0000,0.2857,0.4444,0,0.3333,0,0
Ex 334,1.0000,1.0000,1.0000,1.0000,0.8667,0.9286,1.0000,1.0000,1.0000,1,0.6667,1,0
Ex 335,0.4000,1.0000,0.5714,1.0000,0.8333,0.9091,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 336,1.0000,1.0000,1.0000,0.9394,0.9394,0.9394,1.0000,1.0000,1.0000,1,0.4000,1,0
Ex 337,1.0000,1.0000,1.0000,0.9333,0.8235,0.8750,1.0000,1.0000,1.0000,1,0.6000,1,0
Ex 338,0.5556,1.0000,0.7143,0.9000,0.8710,0.8852,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 339,0.4000,0.6667,0.5000,0.6667,0.8571,0.7500,1.0000,0.5000,0.6667,0,0.5000,0,0
Ex 340,1.0000,0.5556,0.7143,0.6522,0.9375,0.7692,0.2500,0.1250,0.1667,0,0.2000,0,0
Ex 341,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 342,1.0000,1.0000,1.0000,0.8750,0.7000,0.7778,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 343,0.6667,0.8000,0.7273,0.7059,0.7059,0.7059,1.0000,0.7500,0.8571,0,0.2500,0,0
Ex 344,0.5833,0.8750,0.7000,0.6250,0.6250,0.6250,0.5000,0.2500,0.3333,0,0.1429,0,0
Ex 345,1.0000,0.8750,0.9333,0.6875,0.9167,0.7857,0.4286,0.4286,0.4286,0,0.1429,0,0
Ex 346,0.3333,1.0000,0.5000,0.3636,0.3636,0.3636,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 347,0.6923,0.7500,0.7200,0.5870,0.6923,0.6353,0.8000,0.3636,0.5000,0,0.1111,0,0
Ex 348,0.4000,1.0000,0.5714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 349,0.3333,0.3333,0.3333,0.1111,0.5000,0.1818,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 350,0.5385,1.0000,0.7000,0.9375,0.7692,0.8451,1.0000,0.6000,0.7500,0,0.1429,0,0
Ex 351,0.6250,1.0000,0.7692,0.6923,0.7500,0.7200,0.6667,0.4000,0.5000,0,0.2000,0,0
Ex 352,1.0000,1.0000,1.0000,0.8750,0.8077,0.8400,1.0000,1.0000,1.0000,1,0.4000,1,0
Ex 353,0.5000,0.8000,0.6154,0.5000,0.6500,0.5652,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 354,0.5000,0.6667,0.5714,0.7143,0.7143,0.7143,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 355,0.8333,1.0000,0.9091,0.8095,0.7727,0.7907,1.0000,1.0000,1.0000,0,0.2000,1,0
Ex 356,0.5000,1.0000,0.6667,0.8750,0.7000,0.7778,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 357,0.8333,0.7143,0.7692,0.8462,0.8148,0.8302,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 358,0.1667,1.0000,0.2857,0.9000,0.4500,0.6000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 359,0.7500,1.0000,0.8571,0.7895,0.9375,0.8571,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 360,0.3750,1.0000,0.5455,0.4375,0.4375,0.4375,0.5000,0.5000,0.5000,0,0.0000,0,0
Ex 361,0.5714,1.0000,0.7273,0.6207,0.7500,0.6792,0.6667,1.0000,0.8000,0,0.2500,0,0
Ex 362,1.0000,1.0000,1.0000,0.9474,0.9474,0.9474,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 363,0.5000,1.0000,0.6667,0.8485,0.8750,0.8615,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 364,0.8000,1.0000,0.8889,0.8462,0.8462,0.8462,1.0000,1.0000,1.0000,0,0.2500,1,0
Ex 365,1.0000,1.0000,1.0000,1.0000,0.8333,0.9091,1.0000,1.0000,1.0000,1,0.2500,1,0
Ex 366,1.0000,0.7500,0.8571,0.8000,0.6667,0.7273,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 367,0.7500,1.0000,0.8571,1.0000,0.8421,0.9143,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 368,1.0000,1.0000,1.0000,0.6667,0.8000,0.7273,1.0000,1.0000,1.0000,1,0.1250,1,0
