Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.7500,1.0000,0.8571,1.0000,0.8824,0.9375,1.0000,1.0000,1.0000,0,0.6667,1,0
Ex 252,1.0000,1.0000,1.0000,0.8966,1.0000,0.9455,0.7143,1.0000,0.8333,1,0.4000,0,0
Ex 253,1.0000,1.0000,1.0000,0.8077,0.8750,0.8400,1.0000,0.8333,0.9091,1,0.2000,0,0
Ex 254,0.7500,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0,1.0000,1,0
Ex 255,1.0000,0.9091,0.9524,0.9231,0.9057,0.9143,0.8182,0.8182,0.8182,0,0.4000,0,0
Ex 256,0.7500,1.0000,0.8571,1.0000,0.8125,0.8966,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 257,1.0000,1.0000,1.0000,1.0000,0.8636,0.9268,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 258,1.0000,1.0000,1.0000,0.7059,0.5455,0.6154,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 259,0.8333,0.8333,0.8333,0.8182,0.7500,0.7826,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 260,1.0000,1.0000,1.0000,0.9091,0.9524,0.9302,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 261,1.0000,0.6000,0.7500,0.6364,0.5833,0.6087,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 262,1.0000,0.8750,0.9333,0.8276,0.7500,0.7869,0.8333,0.7143,0.7692,0,0.0000,0,0
Ex 263,0.5000,0.6000,0.5455,0.6667,0.3077,0.4211,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.8571,0.9231,0.6970,0.8214,0.7541,1.0000,0.8333,0.9091,0,0.1667,0,0
Ex 265,1.0000,0.8000,0.8889,0.7500,0.6923,0.7200,0.6667,0.6667,0.6667,0,0.2500,0,0
Ex 266,1.0000,1.0000,1.0000,0.8182,0.8182,0.8182,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 267,1.0000,1.0000,1.0000,0.8333,0.8333,0.8333,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 268,0.8000,0.8000,0.8000,1.0000,0.7500,0.8571,0.6667,0.5000,0.5714,0,0.5000,0,0
Ex 269,1.0000,1.0000,1.0000,0.8000,0.7273,0.7619,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 270,0.8000,1.0000,0.8889,0.7500,0.6667,0.7059,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 271,0.6667,0.6667,0.6667,0.7500,0.6000,0.6667,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 272,1.0000,1.0000,1.0000,0.8333,1.0000,0.9091,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 273,1.0000,1.0000,1.0000,0.8333,0.6250,0.7143,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 274,1.0000,1.0000,1.0000,0.9412,0.9412,0.9412,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 275,1.0000,1.0000,1.0000,0.9444,1.0000,0.9714,1.0000,1.0000,1.0000,1,0.6667,1,0
Ex 276,1.0000,0.8000,0.8889,0.7692,0.8696,0.8163,1.0000,0.6000,0.7500,0,0.5000,0,0
Ex 277,1.0000,0.7143,0.8333,0.6250,0.7500,0.6818,0.6000,0.5000,0.5455,0,0.0000,0,0
Ex 278,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0,1.0000,1,0
