Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5000,1.0000,0.6667,0.8750,0.8235,0.8485,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 253,0.7500,0.6000,0.6667,0.7857,0.7333,0.7586,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 254,0.5000,1.0000,0.6667,0.8571,0.7500,0.8000,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 255,1.0000,0.8182,0.9000,0.8182,0.9375,0.8738,0.8333,0.4545,0.5882,0,0.2222,0,0
Ex 256,0.7500,1.0000,0.8571,1.0000,0.8125,0.8966,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 259,1.0000,0.8333,0.9091,0.8333,0.8333,0.8333,1.0000,0.5000,0.6667,0,0.4000,0,0
Ex 261,1.0000,0.6000,0.7500,0.6364,0.5833,0.6087,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 262,1.0000,0.8750,0.9333,0.8846,0.7188,0.7931,0.6250,0.7143,0.6667,0,0.1429,0,0
Ex 263,0.6000,0.6000,0.6000,0.5455,0.4615,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 266,0.7500,1.0000,0.8571,0.7500,0.8182,0.7826,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 267,0.7500,1.0000,0.8571,0.7692,0.8333,0.8000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 268,0.6667,0.8000,0.7273,0.8571,0.7500,0.8000,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 269,0.6000,1.0000,0.7500,0.5000,0.5455,0.5217,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 270,0.8000,1.0000,0.8889,0.7500,0.6667,0.7059,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 272,1.0000,0.3333,0.5000,0.3846,0.7143,0.5000,1.0000,0.2000,0.3333,0,0.0000,0,0
Ex 273,0.6667,1.0000,0.8000,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 274,1.0000,1.0000,1.0000,0.7895,0.8824,0.8333,1.0000,1.0000,1.0000,1,0.2500,1,0
Ex 275,0.7500,1.0000,0.8571,0.8000,0.7059,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 276,1.0000,1.0000,1.0000,0.7500,0.6667,0.7059,0.4000,0.4000,0.4000,1,0.0000,0,0
Ex 278,0.6000,1.0000,0.7500,0.9286,0.6842,0.7879,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 279,0.5000,1.0000,0.6667,0.9000,0.9000,0.9000,1.0000,1.0000,1.0000,0,0.5000,1,0
Ex 280,0.8750,1.0000,0.9333,0.8500,0.7391,0.7907,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 281,0.7500,1.0000,0.8571,0.7273,0.5714,0.6400,0.5000,0.5000,0.5000,0,0.0000,0,0
Ex 282,1.0000,1.0000,1.0000,0.7368,0.8750,0.8000,1.0000,1.0000,1.0000,1,0.2000,1,0
Ex 283,0.7500,1.0000,0.8571,0.8462,0.7333,0.7857,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 284,0.5000,0.7500,0.6000,0.5455,0.8571,0.6667,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 285,0.7500,1.0000,0.8571,0.6667,0.7143,0.6897,0.5000,0.5000,0.5000,0,0.0000,0,0
Ex 286,0.8000,1.0000,0.8889,0.7692,0.6667,0.7143,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 288,1.0000,0.8000,0.8889,0.6316,0.7059,0.6667,0.4000,0.5000,0.4444,0,0.0000,0,0
Ex 289,0.7500,1.0000,0.8571,0.8333,0.8333,0.8333,0.6667,1.0000,0.8000,0,0.0000,0,0
Ex 290,0.6667,1.0000,0.8000,1.0000,0.7778,0.8750,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 291,1.0000,1.0000,1.0000,0.8000,0.6316,0.7059,0.7500,1.0000,0.8571,1,0.0000,0,0
Ex 292,0.5000,1.0000,0.6667,0.5000,0.4545,0.4762,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 294,1.0000,1.0000,1.0000,1.0000,0.8500,0.9189,0.7500,1.0000,0.8571,1,0.2500,0,0
Ex 297,0.6000,0.6000,0.6000,0.5000,0.5000,0.5000,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 298,0.7500,1.0000,0.8571,1.0000,0.8462,0.9167,1.0000,0.6667,0.8000,0,0.3333,0,0
Ex 299,1.0000,0.6667,0.8000,1.0000,0.8696,0.9302,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 300,0.8000,1.0000,0.8889,0.6471,0.6875,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 303,1.0000,1.0000,1.0000,0.8529,0.8788,0.8657,0.8333,1.0000,0.9091,1,0.5000,0,0
Ex 304,1.0000,1.0000,1.0000,0.9231,0.8571,0.8889,1.0000,1.0000,1.0000,1,0.0000,1,0
