Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 252,1.0000,1.0000,1.0000,0.9091,0.3846,0.5405,1.0000,1.0000,1.0000,1,0.2000,1,0
Ex 253,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000,0.5000,0.1667,0.2500,0,0.0000,0,0
Ex 254,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 255,1.0000,0.8182,0.9000,0.7778,0.1321,0.2258,0.8000,0.7273,0.7619,0,0.0000,0,0
Ex 256,0.6000,1.0000,0.7500,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 257,0.4286,1.0000,0.6000,0.5714,0.1818,0.2759,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 258,0.7500,1.0000,0.8571,0.7500,0.2727,0.4000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 259,0.7143,0.8333,0.7692,0.0000,0.0000,0.0000,0.6667,0.3333,0.4444,0,0.0000,0,0
Ex 260,0.7500,0.7500,0.7500,0.8000,0.2500,0.3810,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 261,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 262,1.0000,0.7500,0.8571,1.0000,0.1786,0.3030,0.6667,0.5714,0.6154,0,0.1667,0,0
Ex 263,0.5000,0.6000,0.5455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.4286,0.6000,0.0000,0.0000,0.0000,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 265,0.6667,0.8000,0.7273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 266,0.7500,1.0000,0.8571,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 267,0.7500,1.0000,0.8571,0.7500,0.5000,0.6000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 268,0.5714,0.8000,0.6667,0.0000,0.0000,0.0000,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 269,0.4000,0.6667,0.5000,0.0000,0.0000,0.0000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 270,0.8000,1.0000,0.8889,0.6000,0.3333,0.4286,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 271,0.7500,1.0000,0.8571,0.8000,0.2667,0.4000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 272,0.8333,0.8333,0.8333,0.0000,0.0000,0.0000,1.0000,0.8000,0.8889,0,0.0000,0,0
Ex 273,0.4000,1.0000,0.5714,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 274,0.8000,1.0000,0.8889,0.6000,0.1765,0.2727,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 275,0.7500,1.0000,0.8571,0.7500,0.3529,0.4800,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 276,0.5714,0.8000,0.6667,0.0000,0.0000,0.0000,1.0000,0.2000,0.3333,0,0.0000,0,0
Ex 277,0.8333,0.7143,0.7692,0.6250,0.2273,0.3333,0.5000,0.3333,0.4000,0,0.0000,0,0
Ex 278,0.7500,1.0000,0.8571,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 279,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 280,1.0000,0.7143,0.8333,0.6667,0.4000,0.5000,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 281,1.0000,1.0000,1.0000,1.0000,0.2143,0.3529,0.5000,0.5000,0.5000,1,0.0000,0,0
Ex 282,1.0000,1.0000,1.0000,0.5000,0.2500,0.3333,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 283,0.5000,1.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 284,0.5000,0.7500,0.6000,0.4000,0.5714,0.4706,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 285,0.5000,1.0000,0.6667,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 286,0.8000,1.0000,0.8889,0.6667,0.1333,0.2222,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 287,0.5000,0.4000,0.4444,0.0000,0.0000,0.0000,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 288,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,1.0000,0.8000,1,0.0000,0,0
Ex 289,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.5000,1,0.0000,0,0
Ex 290,0.6667,1.0000,0.8000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0,0.0000,1,0
