Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.7088,0.9450,0.8100,0.9000,0.7411,0.8129,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 252,0.9450,0.9450,0.9450,0.9000,0.8654,0.8824,0.6429,0.9000,0.7500,1,0.8000,0,0
Ex 253,0.7088,0.5670,0.6300,0.6600,0.6600,0.6600,0.4500,0.1500,0.2250,0,0.0000,0,0
Ex 254,0.4725,0.7088,0.5670,0.3937,0.3937,0.3937,0.9000,0.4500,0.6000,0,0.0000,0,0
Ex 255,0.4500,0.8591,0.5906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 256,0.9450,0.9450,0.9450,0.9000,0.5625,0.6923,0.6000,0.9000,0.7200,1,0.0000,0,0
Ex 257,0.4050,0.9450,0.5670,0.7579,0.6546,0.7025,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 258,0.7088,0.9450,0.8100,0.6631,0.5728,0.6146,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 259,0.9450,0.7875,0.8591,0.7200,0.7500,0.7347,0.5400,0.4500,0.4909,0,0.4000,0,0
Ex 260,0.5400,0.9450,0.6873,0.8400,0.6000,0.7000,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 261,0.7875,0.9450,0.8591,0.7500,0.4737,0.5807,0.9000,0.6750,0.7714,0,0.2000,0,0
Ex 262,0.9450,0.7088,0.8100,0.7071,0.7071,0.7071,0.6000,0.5143,0.5539,0,0.1667,0,0
Ex 263,0.3150,0.5670,0.4050,0.9000,0.2077,0.3375,0.9000,0.2250,0.3600,0,0.0000,0,0
Ex 264,0.8269,0.9450,0.8820,0.6900,0.6677,0.6787,0.7714,0.9000,0.8308,0,0.1429,0,0
Ex 265,0.4725,0.9450,0.6300,0.6750,0.6750,0.6750,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 266,0.7088,0.9450,0.8100,0.6231,0.7364,0.6750,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 267,0.7088,0.9450,0.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 268,0.5400,0.7560,0.6300,0.7200,0.6750,0.6968,0.6000,0.4500,0.5143,0,0.0000,0,0
Ex 269,0.7088,0.9450,0.8100,0.6750,0.7364,0.7043,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 270,0.9450,0.7088,0.8100,0.5786,0.5400,0.5586,0.4500,0.2250,0.3000,0,0.0000,0,0
Ex 271,0.5670,0.9450,0.7088,0.9000,0.4800,0.6261,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 272,0.7088,0.9450,0.8100,0.7043,0.8100,0.7535,0.9000,0.9000,0.9000,0,0.1667,1,0
Ex 273,0.6300,0.9450,0.7560,0.6750,0.6750,0.6750,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 274,0.4725,0.4725,0.4725,0.7364,0.9000,0.8100,0.9000,0.3000,0.4500,0,0.5000,0,0
Ex 275,0.4725,0.6300,0.5400,0.8182,0.7500,0.7826,0.9000,0.4500,0.6000,0,0.0000,0,0
Ex 276,0.7875,0.9450,0.8591,0.6000,0.5333,0.5647,0.6000,0.7200,0.6546,0,0.2000,0,0
Ex 277,0.9450,0.5400,0.6873,0.6375,0.8500,0.7286,0.3000,0.1500,0.2000,0,0.5000,0,0
Ex 278,0.5670,0.9450,0.7088,0.7411,0.6631,0.7000,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 279,0.6300,0.9450,0.7560,0.9000,0.7200,0.8000,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 280,0.9450,0.5400,0.6873,0.9000,0.6882,0.7800,0.0000,0.0000,0.0000,0,0.0000,0,0
