Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6750,0.9000,0.7714,0.9000,0.7942,0.8438,0.9000,0.9000,0.9000,0,0.6667,1,0
Ex 252,0.9000,0.9000,0.9000,0.8069,0.9000,0.8509,0.6429,0.9000,0.7500,1,0.4000,0,0
Ex 253,0.9000,0.9000,0.9000,0.7269,0.7875,0.7560,0.7714,0.9000,0.8308,1,0.2000,0,0
Ex 254,0.6750,0.9000,0.7714,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0,1.0000,1,0
Ex 255,0.9000,0.8182,0.8572,0.8308,0.8151,0.8229,0.7364,0.7364,0.7364,0,0.4000,0,0
Ex 256,0.6750,0.9000,0.7714,0.9000,0.7313,0.8069,0.9000,0.9000,0.9000,0,0.3333,1,0
Ex 257,0.9000,0.9000,0.9000,0.9000,0.7772,0.8341,0.9000,0.9000,0.9000,1,0.3333,1,0
Ex 258,0.9000,0.9000,0.9000,0.6353,0.4909,0.5539,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 259,0.7500,0.7500,0.7500,0.7364,0.6750,0.7043,0.6750,0.4500,0.5400,0,0.0000,0,0
Ex 260,0.9000,0.9000,0.9000,0.8182,0.8572,0.8372,0.6750,0.9000,0.7714,1,0.5000,0,0
Ex 261,0.6750,0.5400,0.6000,0.9000,0.7500,0.8182,0.6000,0.4500,0.5143,0,0.3333,0,0
Ex 262,0.9000,0.7875,0.8400,0.7448,0.6750,0.7082,0.7500,0.6429,0.6923,0,0.0000,0,0
Ex 263,0.4500,0.5400,0.4909,0.6000,0.2769,0.3790,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.9000,0.7714,0.8308,0.6273,0.7393,0.6787,0.7500,0.7500,0.7500,0,0.1667,0,0
Ex 265,0.9000,0.7200,0.8000,0.6750,0.6231,0.6480,0.6000,0.6000,0.6000,0,0.2500,0,0
Ex 266,0.9000,0.9000,0.9000,0.7364,0.7364,0.7364,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 267,0.9000,0.9000,0.9000,0.7500,0.7500,0.7500,0.9000,0.9000,0.9000,1,0.0000,1,0
Ex 268,0.7200,0.7200,0.7200,0.9000,0.6750,0.7714,0.6000,0.4500,0.5143,0,0.5000,0,0
