Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5670,0.9450,0.7088,0.7411,0.7411,0.7411,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 252,0.9450,0.9450,0.9450,0.8036,0.8654,0.8333,0.6429,0.9000,0.7500,1,0.2000,0,0
Ex 253,0.9450,0.9450,0.9450,0.7435,0.7125,0.7277,0.3600,0.3000,0.3272,1,0.0000,0,0
Ex 254,0.4725,0.4725,0.4725,0.5143,0.2769,0.3600,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 255,0.9450,0.8591,0.9001,0.7854,0.8151,0.8000,0.7364,0.7364,0.7364,0,0.2000,0,0
Ex 256,0.5670,0.9450,0.7088,0.9000,0.7313,0.8069,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 257,0.4050,0.9450,0.5670,0.7579,0.6546,0.7025,0.4500,0.9000,0.6000,0,0.0000,0,0
Ex 258,0.7088,0.9450,0.8100,0.5824,0.4500,0.5077,0.6000,0.9000,0.7200,0,0.0000,0,0
Ex 259,0.7875,0.7875,0.7875,0.7435,0.7125,0.7277,0.4500,0.4500,0.4500,0,0.6000,0,0
Ex 260,0.5670,0.7088,0.6300,0.6600,0.6188,0.6387,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 261,0.9450,0.5670,0.7088,0.5143,0.6000,0.5539,0.4500,0.4500,0.4500,0,0.0000,0,0
Ex 262,0.9450,0.7088,0.8100,0.6666,0.6666,0.6666,0.4500,0.3857,0.4154,0,0.0000,0,0
Ex 263,0.3544,0.5670,0.4362,0.5000,0.3461,0.4091,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.9450,0.8100,0.8723,0.6000,0.6429,0.6207,0.4500,0.6000,0.5143,0,0.1667,0,0
Ex 265,0.4725,0.9450,0.6300,0.7714,0.6750,0.7200,0.6000,0.6000,0.6000,0,0.2000,0,0
Ex 266,0.7088,0.9450,0.8100,0.6231,0.7364,0.6750,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 267,0.7088,0.9450,0.8100,0.6923,0.7500,0.7200,0.9000,0.9000,0.9000,0,0.0000,1,0
Ex 268,0.4200,0.7560,0.5400,0.6429,0.5625,0.6000,0.6000,0.4500,0.5143,0,0.0000,0,0
Ex 269,0.3780,0.6300,0.4725,0.9000,0.4500,0.6000,0.9000,0.4500,0.6000,0,0.0000,0,0
Ex 270,0.7088,0.7088,0.7088,0.5728,0.4200,0.4846,0.4500,0.2250,0.3000,0,0.0000,0,0
Ex 271,0.5670,0.9450,0.7088,0.8000,0.4800,0.6000,0.0000,0.0000,0.0000,0,0.0000,0,0
