Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5670,0.9450,0.7088,0.6500,0.6882,0.6686,0.8366,0.8366,0.8366,0,0.3333,1,0
Ex 252,0.9450,0.9450,0.9450,0.8036,0.8654,0.8333,0.8366,0.8366,0.8366,1,0.2000,1,0
Ex 253,0.9450,0.7560,0.8400,0.7043,0.7714,0.7364,0.6693,0.5577,0.6085,0,0.2500,0,0
Ex 254,0.4725,0.9450,0.6300,0.4875,0.7313,0.5850,0.8366,0.4183,0.5577,0,0.0000,0,0
Ex 255,0.9450,0.8591,0.9001,0.7143,0.8491,0.7759,0.7171,0.4564,0.5577,0,0.3000,0,0
Ex 256,0.9450,0.9450,0.9450,0.8182,0.5625,0.6666,0.5577,0.8366,0.6693,1,0.0000,0,0
Ex 257,0.5670,0.9450,0.7088,0.8000,0.6546,0.7200,0.8366,0.8366,0.8366,0,0.3333,1,0
Ex 258,0.9450,0.9450,0.9450,0.7579,0.6546,0.7025,0.8366,0.8366,0.8366,1,0.0000,1,0
Ex 259,0.9450,0.7875,0.8591,0.8052,0.6375,0.7116,0.5020,0.4183,0.4564,0,0.2000,0,0
Ex 260,0.7560,0.9450,0.8400,0.8308,0.5143,0.6353,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 261,0.9450,0.5670,0.7088,0.6300,0.5250,0.5728,0.4183,0.4183,0.4183,0,0.3333,0,0
Ex 262,0.9450,0.7088,0.8100,0.7435,0.6107,0.6706,0.6693,0.4781,0.5577,0,0.0000,0,0
Ex 263,0.4050,0.5670,0.4725,0.6546,0.5539,0.6000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.9450,0.8100,0.8723,0.6207,0.6429,0.6316,0.5977,0.6972,0.6435,0,0.1667,0,0
Ex 265,0.5250,0.9450,0.6750,0.5062,0.5062,0.5062,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 266,0.5670,0.9450,0.7088,0.4500,0.7364,0.5586,0.8366,0.4183,0.5577,0,0.0000,0,0
Ex 267,0.9450,0.9450,0.9450,0.7500,0.7500,0.7500,0.8366,0.8366,0.8366,1,0.0000,1,0
