Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5953,0.9922,0.7442,0.8663,0.8153,0.8401,0.9202,0.9202,0.9202,0.0000,0.3667,1.0000,0.0000
Ex 252,0.9922,0.9922,0.9922,0.9900,0.6093,0.7543,0.9202,0.9202,0.9202,1.0000,0.0000,1.0000,0.0000
Ex 253,0.9922,0.9922,0.9922,0.8486,0.7426,0.7920,0.7889,0.9202,0.8495,1.0000,0.2200,0.0000,0.0000
Ex 254,0.5953,0.9922,0.7442,0.9138,0.7426,0.8192,0.9202,0.9202,0.9202,0.0000,0.3667,1.0000,0.0000
Ex 256,0.7442,0.9922,0.8505,0.9900,0.6806,0.8067,0.9202,0.9202,0.9202,0.0000,0.0000,1.0000,0.0000
Ex 257,0.7442,0.9922,0.8505,0.8153,0.6300,0.7107,0.9202,0.9202,0.9202,0.0000,0.0000,1.0000,0.0000
Ex 258,0.9922,0.9922,0.9922,0.4950,0.2700,0.3494,0.6135,0.9202,0.7363,1.0000,0.0000,0.0000,0.0000
Ex 259,0.8269,0.8269,0.8269,0.8858,0.7013,0.7828,0.6135,0.3066,0.4090,0.0000,0.2200,0.0000,0.0000
Ex 260,0.7938,0.9922,0.8820,0.9193,0.6129,0.7354,0.6902,0.9202,0.7889,0.0000,0.0000,0.0000,0.0000
Ex 261,0.9922,0.5953,0.7442,0.7920,0.6600,0.7200,0.6135,0.4601,0.5259,0.0000,0.0000,0.0000,0.0000
Ex 262,0.9922,0.7442,0.8505,0.9350,0.6010,0.7318,0.7363,0.5259,0.6135,0.0000,0.0000,0.0000,0.0000
Ex 263,0.5953,0.5953,0.5953,0.7920,0.6093,0.6887,0.4601,0.2301,0.3066,0.0000,0.0000,0.0000,0.0000
Ex 264,0.9922,0.8505,0.9159,0.7235,0.6717,0.6967,0.7363,0.6135,0.6693,0.0000,0.1833,0.0000,0.0000
Ex 265,0.6201,0.9922,0.7632,0.5500,0.6187,0.5824,0.6902,0.9202,0.7889,0.0000,0.0000,0.0000,0.0000
Ex 266,0.5953,0.9922,0.7442,0.5940,0.5399,0.5657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 267,0.7442,0.9922,0.8505,0.8250,0.8250,0.8250,0.9202,0.9202,0.9202,0.0000,0.0000,1.0000,0.0000
Ex 268,0.5670,0.7938,0.6615,0.7570,0.8045,0.7801,0.6135,0.4601,0.5259,0.0000,0.2750,0.0000,0.0000
Ex 269,0.4961,0.6615,0.5670,0.8250,0.6187,0.7071,0.4601,0.4601,0.4601,0.0000,0.0000,0.0000,0.0000
Ex 270,0.7442,0.7442,0.7442,0.7920,0.5280,0.6336,0.4601,0.2301,0.3066,0.0000,0.0000,0.0000,0.0000
