Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5670,0.9450,0.7088,0.7200,0.8471,0.7784,0.8366,0.8366,0.8366,0,0.3333,1,0
Ex 252,0.9450,0.9450,0.9450,0.8036,0.8654,0.8333,0.5977,0.8366,0.6972,1,0.2000,0,0
Ex 253,0.7088,0.5670,0.6300,0.7071,0.6600,0.6827,0.4183,0.1395,0.2091,0,0.0000,0,0
Ex 254,0.4725,0.9450,0.6300,0.4875,0.7313,0.5850,0.8366,0.4183,0.5577,0,0.0000,0,0
Ex 255,0.9450,0.7732,0.8505,0.8062,0.7740,0.7898,0.6274,0.4564,0.5284,0,0.3333,0,0
Ex 256,0.7088,0.9450,0.8100,0.8182,0.5625,0.6666,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 257,0.5670,0.9450,0.7088,0.7106,0.6136,0.6585,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 258,0.9450,0.9450,0.9450,0.7106,0.6136,0.6585,0.8366,0.8366,0.8366,1,0.0000,1,0
Ex 259,0.9450,0.7875,0.8591,0.7286,0.6375,0.6800,0.5020,0.4183,0.4564,0,0.0000,0,0
Ex 260,0.7560,0.9450,0.8400,0.8357,0.5571,0.6686,0.4183,0.2788,0.3346,0,0.0000,0,0
Ex 261,0.9450,0.9450,0.9450,0.7500,0.4737,0.5807,0.4781,0.8366,0.6085,1,0.2000,0,0
Ex 262,0.9450,0.8269,0.8820,0.7920,0.6188,0.6947,0.6972,0.5977,0.6435,0,0.2857,0,0
Ex 263,0.3544,0.5670,0.4362,0.6300,0.4846,0.5478,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.9450,0.8100,0.8723,0.6600,0.7071,0.6827,0.6972,0.6972,0.6972,0,0.1667,0,0
Ex 265,0.4725,0.9450,0.6300,0.3790,0.4500,0.4114,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 266,0.4725,0.9450,0.6300,0.4800,0.6546,0.5539,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 267,0.9450,0.9450,0.9450,0.8182,0.7500,0.7826,0.8366,0.8366,0.8366,1,0.3333,1,0
Ex 268,0.7560,0.7560,0.7560,0.6750,0.8438,0.7500,0.5577,0.4183,0.4781,0,0.0000,0,0
Ex 269,0.9450,0.9450,0.9450,0.8100,0.7364,0.7714,0.8366,0.8366,0.8366,1,0.3333,1,0
Ex 270,0.5670,0.7088,0.6300,0.5728,0.4200,0.4846,0.4183,0.2091,0.2788,0,0.0000,0,0
Ex 271,0.5670,0.9450,0.7088,0.8000,0.4800,0.6000,0.8366,0.8366,0.8366,0,0.0000,1,0
Ex 272,0.5906,0.7875,0.6750,0.6546,0.8471,0.7385,0.8366,0.6693,0.7437,0,0.2000,0,0
Ex 273,0.6300,0.9450,0.7560,0.9000,0.7875,0.8400,0.8366,0.8366,0.8366,0,0.5000,1,0
Ex 274,0.3780,0.4725,0.4200,0.9000,0.9000,0.9000,0.8366,0.2788,0.4183,0,1.0000,0,0
Ex 275,0.9450,0.9450,0.9450,0.9000,0.5824,0.7071,0.8366,0.8366,0.8366,1,0.0000,1,0
Ex 276,0.9450,0.9450,0.9450,0.6107,0.6333,0.6218,0.6693,0.6693,0.6693,1,0.4000,0,0
Ex 277,0.9450,0.5400,0.6873,0.6546,0.8000,0.7200,0.2788,0.1395,0.1859,0,0.5000,0,0
Ex 278,0.6300,0.6300,0.6300,0.8400,0.9000,0.8690,0.8366,0.4183,0.5577,0,0.5000,0,0
Ex 279,0.6300,0.9450,0.7560,0.9000,0.7200,0.8000,0.8366,0.8366,0.8366,0,0.5000,1,0
Ex 280,0.9450,0.5400,0.6873,0.5824,0.5824,0.5824,0.0000,0.0000,0.0000,0,0.0000,0,0
