Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.7222,0.7647,0.7429,0.9296,0.9296,0.9296,0,0.3333,1,0
Ex 252,1.0000,1.0000,1.0000,0.8929,0.9615,0.9259,0.9296,0.5577,0.6972,1,0.2000,0,0
Ex 253,1.0000,0.8000,0.8889,0.7826,0.8571,0.8182,0.7437,0.6198,0.6761,0,0.2500,0,0
Ex 254,0.5000,1.0000,0.6667,0.5417,0.8125,0.6500,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 255,1.0000,0.8182,0.9000,0.7895,0.9574,0.8654,0.7967,0.5071,0.6198,0,0.3333,0,0
Ex 256,1.0000,1.0000,1.0000,0.9091,0.6250,0.7407,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 257,0.6000,1.0000,0.7500,0.8889,0.7273,0.8000,0.9296,0.9296,0.9296,0,0.3333,1,0
Ex 258,1.0000,1.0000,1.0000,0.8421,0.7273,0.7805,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 259,1.0000,0.8333,0.9091,0.8947,0.7083,0.7907,0.6972,0.4647,0.5577,0,0.2000,0,0
Ex 260,0.8000,1.0000,0.8889,0.9231,0.5714,0.7059,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 261,1.0000,0.6000,0.7500,0.7000,0.5833,0.6364,0.4647,0.4647,0.4647,0,0.3333,0,0
Ex 262,1.0000,0.7500,0.8571,0.8261,0.6786,0.7451,0.7437,0.5312,0.6198,0,0.0000,0,0
Ex 263,0.4286,0.6000,0.5000,0.7273,0.6154,0.6667,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.8571,0.9231,0.6897,0.7143,0.7018,0.9296,0.7746,0.8450,0,0.1667,0,0
Ex 265,0.5556,1.0000,0.7143,0.5625,0.5625,0.5625,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 266,0.6000,1.0000,0.7500,0.5000,0.8182,0.6207,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 267,1.0000,1.0000,1.0000,0.8333,0.8333,0.8333,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 268,0.5000,0.8000,0.6154,0.6667,0.8750,0.7568,0.6198,0.4647,0.5312,0,0.0000,0,0
Ex 269,1.0000,1.0000,1.0000,0.8333,0.9091,0.8696,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 270,0.5714,1.0000,0.7273,0.5294,0.5000,0.5143,0.9296,0.6972,0.7967,0,0.0000,0,0
Ex 271,0.6000,1.0000,0.7500,0.7143,0.6667,0.6897,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 272,0.5556,0.8333,0.6667,0.6400,0.9412,0.7619,0.9296,0.7437,0.8264,0,0.2000,0,0
Ex 273,0.6667,1.0000,0.8000,0.8750,0.8750,0.8750,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 274,0.5000,0.5000,0.5000,0.7500,1.0000,0.8571,0.9296,0.3098,0.4647,0,0.5000,0,0
Ex 275,1.0000,1.0000,1.0000,0.8750,0.8235,0.8485,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 276,0.8000,0.8000,0.8000,0.7308,0.8261,0.7755,0.9296,0.3718,0.5312,0,0.5000,0,0
Ex 277,1.0000,0.8571,0.9231,0.6000,0.7500,0.6667,0.3718,0.3098,0.3379,0,0.1667,0,0
Ex 278,0.6000,1.0000,0.7500,0.5556,0.5263,0.5405,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 279,0.6667,1.0000,0.8000,1.0000,0.7000,0.8235,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 280,1.0000,1.0000,1.0000,0.7037,0.8261,0.7600,0.9296,0.9296,0.9296,1,0.0000,1,0
