Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.8750,0.8235,0.8485,0.9296,0.9296,0.9296,0,0.3333,1,0
Ex 252,1.0000,1.0000,1.0000,1.0000,0.6154,0.7619,0.9296,0.5577,0.6972,1,0.0000,0,0
Ex 253,1.0000,1.0000,1.0000,0.8571,0.7500,0.8000,0.7746,0.7746,0.7746,1,0.2000,0,0
Ex 254,0.6000,1.0000,0.7500,0.9231,0.7500,0.8276,0.9296,0.4647,0.6198,0,0.3333,0,0
Ex 256,0.7500,1.0000,0.8571,1.0000,0.6875,0.8148,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 257,0.7500,1.0000,0.8571,0.8235,0.6364,0.7179,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 258,1.0000,1.0000,1.0000,0.5000,0.2727,0.3529,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 259,0.8333,0.8333,0.8333,0.8947,0.7083,0.7907,0.9296,0.1550,0.2655,0,0.2000,0,0
Ex 260,0.8000,1.0000,0.8889,0.9286,0.6190,0.7429,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 261,1.0000,0.6000,0.7500,0.8000,0.6667,0.7273,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 262,1.0000,0.8750,0.9333,0.9524,0.6250,0.7547,0.9296,0.7967,0.8581,0,0.0000,0,0
Ex 263,0.6000,0.6000,0.6000,0.8000,0.6154,0.6957,0.4647,0.2324,0.3098,0,0.0000,0,0
Ex 264,1.0000,0.8571,0.9231,0.7308,0.6786,0.7037,0.9296,0.6198,0.7437,0,0.1667,0,0
Ex 265,0.6250,1.0000,0.7692,0.5556,0.6250,0.5882,0.6198,0.6198,0.6198,0,0.0000,0,0
Ex 266,0.6000,1.0000,0.7500,0.6000,0.5455,0.5714,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 267,0.7500,1.0000,0.8571,0.8333,0.8333,0.8333,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 268,0.5714,0.8000,0.6667,0.7647,0.8125,0.7879,0.6198,0.4647,0.5312,0,0.2500,0,0
