Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.8000,0.9412,0.8649,0.9296,0.9296,0.9296,0,0.3333,1,0
Ex 252,1.0000,1.0000,1.0000,0.8929,0.9615,0.9259,0.9296,0.9296,0.9296,1,0.2000,1,0
Ex 253,0.7500,0.6000,0.6667,0.8333,0.6667,0.7407,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 254,0.5000,1.0000,0.6667,0.5652,0.8125,0.6667,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 255,1.0000,0.7273,0.8421,0.8462,0.8462,0.8462,0.8264,0.6761,0.7437,0,0.2500,0,0
Ex 256,0.7500,1.0000,0.8571,0.9091,0.6250,0.7407,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 257,0.6000,1.0000,0.7500,0.7895,0.6818,0.7317,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 258,1.0000,1.0000,1.0000,0.7895,0.6818,0.7317,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 259,1.0000,0.8333,0.9091,0.8095,0.7083,0.7556,0.6972,0.4647,0.5577,0,0.0000,0,0
Ex 260,0.7500,0.7500,0.7500,0.9091,0.5882,0.7143,0.9296,0.3098,0.4647,0,0.0000,0,0
Ex 261,1.0000,1.0000,1.0000,0.8333,0.5263,0.6452,0.5312,0.9296,0.6761,1,0.2000,0,0
Ex 262,1.0000,0.8750,0.9333,0.8750,0.6562,0.7500,0.7746,0.6640,0.7150,0,0.1429,0,0
Ex 263,0.3750,0.6000,0.4615,0.7000,0.5385,0.6087,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.8571,0.9231,0.7333,0.7857,0.7586,0.9296,0.7746,0.8450,0,0.1667,0,0
Ex 265,0.5000,1.0000,0.6667,0.4211,0.5000,0.4571,0.9296,0.6198,0.7437,0,0.0000,0,0
Ex 266,0.5000,1.0000,0.6667,0.5333,0.7273,0.6154,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 267,1.0000,1.0000,1.0000,0.9091,0.8333,0.8696,0.9296,0.9296,0.9296,1,0.3333,1,0
Ex 268,0.8000,0.8000,0.8000,0.7500,0.9375,0.8333,0.6198,0.4647,0.5312,0,0.0000,0,0
Ex 269,1.0000,1.0000,1.0000,0.9000,0.8182,0.8571,0.9296,0.4647,0.6198,1,0.3333,0,0
Ex 270,0.5714,1.0000,0.7273,0.7143,0.5556,0.6250,0.9296,0.6972,0.7967,0,0.0000,0,0
Ex 271,0.6000,1.0000,0.7500,0.8889,0.5333,0.6667,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 272,0.6250,0.8333,0.7143,0.7273,0.9412,0.8205,0.9296,0.7437,0.8264,0,0.2000,0,0
Ex 273,0.6667,1.0000,0.8000,1.0000,0.8750,0.9333,0.9296,0.9296,0.9296,0,0.5000,1,0
Ex 274,0.4000,0.5000,0.4444,1.0000,1.0000,1.0000,0.9296,0.3098,0.4647,0,1.0000,0,0
Ex 275,1.0000,1.0000,1.0000,1.0000,0.6471,0.7857,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 276,1.0000,1.0000,1.0000,0.6786,0.7037,0.6909,0.9296,0.5577,0.6972,1,0.4000,0,0
Ex 277,1.0000,0.5714,0.7273,0.7273,0.8889,0.8000,0.4647,0.1550,0.2324,0,0.5000,0,0
Ex 278,0.6667,0.6667,0.6667,0.9333,1.0000,0.9655,0.9296,0.4647,0.6198,0,0.5000,0,0
Ex 279,0.6667,1.0000,0.8000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 280,1.0000,1.0000,1.0000,0.6538,0.7391,0.6939,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 281,1.0000,1.0000,1.0000,0.6429,0.6429,0.6429,0.9296,0.4647,0.6198,1,0.0000,0,0
Ex 282,1.0000,1.0000,1.0000,0.8667,0.8125,0.8387,0.9296,0.9296,0.9296,1,0.2000,1,0
Ex 283,1.0000,1.0000,1.0000,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 284,0.3333,0.2500,0.2857,0.5000,0.6667,0.5714,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 285,0.6667,0.6667,0.6667,0.8333,0.6250,0.7143,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 286,1.0000,1.0000,1.0000,0.8667,0.8667,0.8667,0.9296,0.9296,0.9296,1,0.2500,1,0
Ex 287,0.4000,0.4000,0.4000,0.8000,0.3636,0.5000,0.9296,0.2324,0.3718,0,0.0000,0,0
Ex 288,0.8333,1.0000,0.9091,0.6316,0.5000,0.5581,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 289,0.7500,1.0000,0.8571,0.8889,0.6667,0.7619,0.4647,0.4647,0.4647,0,0.0000,0,0
Ex 290,1.0000,1.0000,1.0000,1.0000,0.7778,0.8750,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 291,0.6000,0.7500,0.6667,0.4444,0.2857,0.3478,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 292,0.7500,1.0000,0.8571,0.3846,0.4545,0.4167,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 293,0.6000,0.7500,0.6667,0.7333,0.7857,0.7586,0.9296,0.6198,0.7437,0,0.0000,0,0
Ex 294,1.0000,1.0000,1.0000,0.8095,0.8500,0.8293,0.9296,0.9296,0.9296,1,0.2500,1,0
Ex 295,0.7500,1.0000,0.8571,1.0000,0.6250,0.7692,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 296,0.6667,0.6667,0.6667,0.9412,0.8000,0.8649,0.4647,0.1550,0.2324,0,0.0000,0,0
Ex 297,0.6000,0.6000,0.6000,0.4000,0.6667,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 298,1.0000,1.0000,1.0000,1.0000,0.6923,0.8182,0.9296,0.9296,0.9296,1,0.3333,1,0
Ex 299,0.7500,1.0000,0.8571,0.9375,0.5556,0.6977,0.9296,0.4647,0.6198,0,0.3333,0,0
Ex 300,0.8000,1.0000,0.8889,0.6875,0.6875,0.6875,0.9296,0.9296,0.9296,0,0.2500,1,0
Ex 301,0.7500,0.7500,0.7500,0.5600,0.7368,0.6364,0.9296,0.3098,0.4647,0,0.0000,0,0
Ex 302,1.0000,1.0000,1.0000,0.9032,0.8750,0.8889,0.7437,0.9296,0.8264,1,0.4000,0,0
Ex 303,1.0000,1.0000,1.0000,0.8788,0.8788,0.8788,0.7746,0.9296,0.8450,1,0.3333,0,0
Ex 304,1.0000,1.0000,1.0000,0.7778,0.5000,0.6087,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 305,1.0000,0.7500,0.8571,0.9333,0.9333,0.9333,0.6198,0.6198,0.6198,0,0.3333,0,0
Ex 306,1.0000,0.6364,0.7778,0.6667,0.6316,0.6486,0.7746,0.6640,0.7150,0,0.1429,0,0
Ex 307,1.0000,1.0000,1.0000,0.9756,0.8511,0.9091,0.0000,0.0000,0.0000,1,0.1667,0,0
Ex 308,1.0000,0.8000,0.8889,0.9000,0.7500,0.8182,0.6198,0.3718,0.4647,0,0.2500,0,0
Ex 309,0.6000,0.6000,0.6000,0.7500,0.7059,0.7273,0.4647,0.1859,0.2655,0,0.0000,0,0
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8667,0.9286,0.9296,0.9296,0.9296,1,0.5000,1,0
Ex 311,0.4286,1.0000,0.6000,0.5714,0.4706,0.5161,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 312,1.0000,1.0000,1.0000,0.8571,0.6667,0.7500,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 313,0.8571,0.8571,0.8571,0.6111,0.6471,0.6286,0.9296,0.6198,0.7437,0,0.1667,0,0
