Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 289,0.7500,1.0000,0.8571,0.9000,0.7500,0.8182,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 290,0.6667,1.0000,0.8000,1.0000,0.7778,0.8750,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 291,1.0000,0.7500,0.8571,0.6364,0.5000,0.5600,0.4647,0.3098,0.3718,0,0.0000,0,0
Ex 292,0.5000,0.6667,0.5714,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 293,0.7500,0.7500,0.7500,1.0000,0.5000,0.6667,0.9296,0.3098,0.4647,0,0.0000,0,0
Ex 294,1.0000,1.0000,1.0000,0.9167,0.5500,0.6875,0.4647,0.3098,0.3718,1,0.0000,0,0
Ex 295,0.7500,1.0000,0.8571,1.0000,0.6875,0.8148,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 296,0.7500,0.5000,0.6000,0.8571,0.7500,0.8000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 297,0.7500,0.6000,0.6667,0.7143,0.6250,0.6667,0.9296,0.2324,0.3718,0,0.3333,0,0
Ex 298,1.0000,1.0000,1.0000,1.0000,0.4615,0.6316,0.9296,0.6198,0.7437,1,0.0000,0,0
Ex 299,1.0000,1.0000,1.0000,1.0000,0.7037,0.8261,0.9296,0.4647,0.6198,1,0.0000,0,0
Ex 300,0.6667,0.5000,0.5714,0.6250,0.5556,0.5882,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 301,0.6667,0.5000,0.5714,0.9286,0.8667,0.8966,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 302,1.0000,0.8000,0.8889,0.7500,0.5769,0.6522,0.4647,0.2324,0.3098,0,0.0000,0,0
Ex 303,1.0000,0.6667,0.8000,0.8462,0.4783,0.6111,0.9296,0.3718,0.5312,0,0.0000,0,0
Ex 304,1.0000,1.0000,1.0000,1.0000,0.5714,0.7273,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 305,1.0000,0.7500,0.8571,0.8462,0.7333,0.7857,0.4647,0.3098,0.3718,0,0.0000,0,0
Ex 306,1.0000,0.3636,0.5333,0.6923,0.4737,0.5625,0.4647,0.1329,0.2065,0,0.0000,0,0
Ex 307,1.0000,0.5000,0.6667,0.9333,0.5185,0.6667,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 308,1.0000,0.6000,0.7500,1.0000,0.7222,0.8387,0.4647,0.1859,0.2655,0,0.0000,0,0
Ex 309,0.5000,0.4000,0.4444,0.6667,0.4286,0.5217,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 311,1.0000,1.0000,1.0000,0.7857,0.6471,0.7097,0.9296,0.6198,0.7437,1,0.3333,0,0
Ex 312,1.0000,1.0000,1.0000,1.0000,0.7778,0.8750,0.9296,0.9296,0.9296,1,0.3333,1,0
Ex 313,0.7500,0.4286,0.5455,0.1250,0.1250,0.1250,0.9296,0.1550,0.2655,0,0.0000,0,0
Ex 314,0.6667,0.5000,0.5714,0.7500,0.3333,0.4615,0.9296,0.1859,0.3098,0,0.0000,0,0
Ex 315,0.7500,0.7500,0.7500,0.8000,0.4444,0.5714,0.9296,0.2324,0.3718,0,0.0000,0,0
Ex 316,1.0000,0.6000,0.7500,0.7500,0.5000,0.6000,0.4647,0.2324,0.3098,0,0.0000,0,0
Ex 317,0.6667,1.0000,0.8000,1.0000,0.6667,0.8000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 318,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000,0.9296,0.4647,0.6198,0,1.0000,0,0
Ex 319,0.3333,1.0000,0.5000,1.0000,0.6000,0.7500,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 320,1.0000,0.6000,0.7500,1.0000,0.6875,0.8148,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 321,0.6667,0.8000,0.7273,0.6000,0.3750,0.4615,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 322,1.0000,0.5714,0.7273,0.9091,0.5556,0.6897,0.9296,0.2655,0.4131,0,0.0000,0,0
Ex 323,1.0000,1.0000,1.0000,0.8000,0.8000,0.8000,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 324,0.5000,1.0000,0.6667,0.6667,0.4000,0.5000,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 325,1.0000,1.0000,1.0000,0.8000,0.5714,0.6667,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 326,0.6667,0.6667,0.6667,1.0000,0.5625,0.7200,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 327,0.6667,1.0000,0.8000,1.0000,0.5909,0.7429,0.9296,0.2324,0.3718,0,0.2500,0,0
Ex 328,1.0000,0.6667,0.8000,0.8148,0.6875,0.7458,0.4647,0.2324,0.3098,0,0.0000,0,0
Ex 329,1.0000,0.7500,0.8571,1.0000,0.7273,0.8421,0.9296,0.3098,0.4647,0,0.3333,0,0
Ex 330,1.0000,0.6000,0.7500,0.9167,0.5238,0.6667,0.9296,0.4647,0.6198,0,0.3333,0,0
Ex 331,1.0000,0.7500,0.8571,0.6000,0.3333,0.4286,0.4647,0.4647,0.4647,0,0.0000,0,0
Ex 332,1.0000,0.5714,0.7273,1.0000,0.4375,0.6087,0.9296,0.2655,0.4131,0,0.0000,0,0
Ex 333,0.6667,0.3333,0.4444,1.0000,0.7143,0.8333,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 334,1.0000,1.0000,1.0000,1.0000,0.4667,0.6364,0.9296,0.6198,0.7437,1,0.0000,0,0
Ex 335,0.3333,0.5000,0.4000,0.8750,0.7000,0.7778,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 336,1.0000,0.8000,0.8889,0.9615,0.9259,0.9434,0.9296,0.4647,0.6198,0,0.2500,0,0
Ex 337,0.7500,0.6000,0.6667,0.8182,0.8182,0.8182,0.9296,0.1859,0.3098,0,0.6667,0,0
Ex 338,0.8333,1.0000,0.9091,1.0000,0.6129,0.7600,0.9296,0.3718,0.5312,0,0.0000,0,0
Ex 339,0.6667,0.6667,0.6667,0.2500,0.2857,0.2667,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 340,1.0000,0.3333,0.5000,0.7500,0.5455,0.6316,0.9296,0.2324,0.3718,0,0.0000,0,0
Ex 341,0.5000,0.6667,0.5714,0.8000,0.4444,0.5714,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 342,1.0000,1.0000,1.0000,0.8333,0.5000,0.6250,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 343,1.0000,0.8000,0.8889,0.7333,0.7333,0.7333,0.4647,0.2324,0.3098,0,0.0000,0,0
Ex 344,0.6667,0.2500,0.3636,0.6667,0.3636,0.4706,0.9296,0.1162,0.2065,0,0.0000,0,0
Ex 345,1.0000,0.3750,0.5455,0.7778,0.7000,0.7368,0.9296,0.2655,0.4131,0,0.0000,0,0
Ex 346,1.0000,1.0000,1.0000,0.5714,0.3636,0.4444,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 347,1.0000,0.5000,0.6667,0.6552,0.7308,0.6909,0.6198,0.1690,0.2655,0,0.1667,0,0
Ex 348,0.2500,0.5000,0.3333,1.0000,0.4000,0.5714,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 349,1.0000,1.0000,1.0000,0.9412,0.6957,0.8000,0.9296,0.9296,0.9296,1,0.0000,1,0
Ex 350,0.6667,0.2857,0.4000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 351,1.0000,0.8000,0.8889,0.5000,0.6667,0.5714,0.9296,0.3718,0.5312,0,0.0000,0,0
Ex 352,1.0000,1.0000,1.0000,0.9048,0.7308,0.8085,0.9296,0.6972,0.7967,1,0.4000,0,0
Ex 353,0.6667,0.4000,0.5000,0.6000,0.4615,0.5217,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 354,0.5000,0.6667,0.5714,0.5556,0.7143,0.6250,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 355,0.7500,0.6000,0.6667,0.8889,0.5000,0.6400,0.9296,0.1859,0.3098,0,0.0000,0,0
Ex 356,0.6667,1.0000,0.8000,1.0000,0.4000,0.5714,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 357,1.0000,0.5714,0.7273,1.0000,0.5652,0.7222,0.9296,0.3098,0.4647,0,0.0000,0,0
Ex 358,0.5000,1.0000,0.6667,0.6000,0.3000,0.4000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 359,0.7500,1.0000,0.8571,0.8000,0.5000,0.6154,0.9296,0.3098,0.4647,0,0.0000,0,0
Ex 360,0.6667,0.6667,0.6667,0.2857,0.1818,0.2222,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 361,0.7500,0.7500,0.7500,0.7857,0.5500,0.6471,0.9296,0.4647,0.6198,0,0.0000,0,0
Ex 362,1.0000,1.0000,1.0000,1.0000,0.6842,0.8125,0.9296,0.6198,0.7437,1,0.0000,0,0
Ex 363,1.0000,1.0000,1.0000,1.0000,0.8438,0.9153,0.9296,0.4647,0.6198,1,0.2500,0,0
Ex 364,1.0000,1.0000,1.0000,0.8333,0.7692,0.8000,0.9296,0.6198,0.7437,1,0.2500,0,0
Ex 365,1.0000,0.7500,0.8571,1.0000,0.5000,0.6667,0.9296,0.6198,0.7437,0,0.0000,0,0
Ex 366,1.0000,0.7500,0.8571,0.7500,0.5000,0.6000,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 367,0.7500,1.0000,0.8571,1.0000,0.6316,0.7742,0.9296,0.9296,0.9296,0,0.0000,1,0
Ex 368,1.0000,0.5000,0.6667,0.6250,0.3571,0.4545,0.9296,0.2065,0.3379,0,0.0000,0,0
Ex 369,0.7500,0.7500,0.7500,0.6250,0.6250,0.6250,0.9296,0.3098,0.4647,0,0.0000,0,0
Ex 370,0.6667,0.8000,0.7273,0.9333,0.7778,0.8485,0.0000,0.0000,0.0000,0,0.2500,0,0
Ex 371,1.0000,1.0000,1.0000,1.0000,0.9355,0.9667,0.4647,0.3098,0.3718,1,0.7500,0,0
Ex 372,0.6667,0.2857,0.4000,0.3333,0.4000,0.3636,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 373,0.6667,0.5714,0.6154,0.6667,0.4000,0.5000,0.9296,0.1329,0.2324,0,0.0000,0,0
