Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.7647,0.7647,0.7647,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 252,1.0000,1.0000,1.0000,0.9375,0.5769,0.7143,1.0000,1.0000,1.0000,1,0.2000,1,0
Ex 254,0.4000,0.5000,0.4444,0.3000,0.2308,0.2609,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 255,0.8000,0.7273,0.7619,0.6531,0.7619,0.7033,0.6667,0.5455,0.6000,0,0.1250,0,0
Ex 256,1.0000,1.0000,1.0000,1.0000,0.8125,0.8966,0.6667,1.0000,0.8000,1,0.3333,0,0
Ex 257,0.3750,1.0000,0.5455,0.5926,0.7273,0.6531,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 258,0.5000,1.0000,0.6667,0.6154,0.7273,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 259,1.0000,0.8333,0.9091,1.0000,0.8333,0.9091,0.8000,0.6667,0.7273,0,0.2000,0,0
Ex 260,1.0000,0.7500,0.8571,0.8824,0.8824,0.8824,0.5000,0.3333,0.4000,0,0.3333,0,0
Ex 262,1.0000,0.7500,0.8571,0.9091,0.7143,0.8000,0.4444,0.5714,0.5000,0,0.3333,0,0
Ex 263,0.3333,0.4000,0.3636,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.7500,0.8571,0.8000,0.8000,0.5714,0.6667,0.8333,0.8333,0.8333,0,0.1667,0,0
Ex 265,0.4444,0.8000,0.5714,0.4000,0.6154,0.4848,0.6667,0.6667,0.6667,0,0.0000,0,0
Ex 268,1.0000,0.8000,0.8889,0.4483,0.8125,0.5778,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 269,1.0000,1.0000,1.0000,0.6429,0.8182,0.7200,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 271,0.7500,1.0000,0.8571,0.9091,0.6667,0.7692,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 272,0.8571,1.0000,0.9231,0.6316,0.6000,0.6154,1.0000,0.8000,0.8889,0,0.0000,0,0
Ex 275,1.0000,1.0000,1.0000,1.0000,0.9412,0.9697,1.0000,1.0000,1.0000,1,0.6667,1,0
Ex 276,1.0000,0.8000,0.8889,0.6667,0.6957,0.6809,0.6000,0.6000,0.6000,0,0.2500,0,0
Ex 277,1.0000,0.5714,0.7273,0.6957,0.8889,0.7805,0.2500,0.1667,0.2000,0,0.0000,0,0
Ex 278,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000,1.0000,0.5000,0.6667,0,1.0000,0,0
Ex 280,1.0000,0.2857,0.4444,0.8000,0.8889,0.8421,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 282,0.6000,0.6000,0.6000,0.3684,0.5833,0.4516,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 283,0.7500,1.0000,0.8571,0.9231,0.8000,0.8571,1.0000,1.0000,1.0000,0,0.6667,1,0
Ex 285,0.5000,0.6667,0.5714,0.2727,0.7500,0.4000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 286,1.0000,0.7500,0.8571,1.0000,0.9231,0.9600,0.5000,0.3333,0.4000,0,0.6667,0,0
Ex 287,0.7500,0.6000,0.6667,0.6923,0.6429,0.6667,0.5000,0.2500,0.3333,0,0.0000,0,0
Ex 289,1.0000,1.0000,1.0000,1.0000,0.8333,0.9091,0.6667,1.0000,0.8000,1,0.3333,0,0
Ex 290,1.0000,1.0000,1.0000,0.6154,0.8889,0.7273,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 291,0.5000,0.5000,0.5000,0.4545,0.5556,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 292,1.0000,1.0000,1.0000,0.4615,0.5455,0.5000,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 293,1.0000,1.0000,1.0000,0.8824,0.8824,0.8824,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 294,1.0000,1.0000,1.0000,0.6800,0.8500,0.7556,1.0000,1.0000,1.0000,1,0.2500,1,0
Ex 295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 297,1.0000,0.6000,0.7500,0.6667,0.6667,0.6667,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 298,1.0000,1.0000,1.0000,0.9167,0.8462,0.8800,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 299,0.6000,1.0000,0.7500,1.0000,0.7407,0.8511,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 301,0.5714,1.0000,0.7273,0.4483,0.5909,0.5098,0.5000,0.3333,0.4000,0,0.0000,0,0
Ex 303,0.7500,1.0000,0.8571,0.4800,0.7273,0.5783,0.8000,0.8000,0.8000,0,0.0000,0,0
Ex 304,1.0000,0.6667,0.8000,0.8000,0.8000,0.8000,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 306,1.0000,0.3636,0.5333,0.7000,0.6667,0.6829,0.0000,0.0000,0.0000,0,0.2500,0,0
Ex 307,1.0000,1.0000,1.0000,0.3889,0.2979,0.3373,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 308,1.0000,0.8000,0.8889,0.9091,0.8333,0.8696,0.7500,0.6000,0.6667,0,0.2500,0,0
Ex 309,0.4286,0.6000,0.5000,0.6667,0.5882,0.6250,0.5000,0.2000,0.2857,0,0.0000,0,0
Ex 310,1.0000,1.0000,1.0000,1.0000,0.9333,0.9655,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 313,0.5556,0.7143,0.6250,0.4615,0.5714,0.5106,0.3333,0.1667,0.2222,0,0.0000,0,0
Ex 315,0.3333,0.5000,0.4000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 316,0.6250,1.0000,0.7692,0.4062,0.6500,0.5000,0.7500,0.7500,0.7500,0,0.0000,0,0
Ex 319,0.5000,1.0000,0.6667,0.6429,0.9000,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 321,0.5000,0.8000,0.6154,0.4348,0.4167,0.4255,0.4000,0.5000,0.4444,0,0.0000,0,0
Ex 322,1.0000,0.7143,0.8333,0.8421,0.7619,0.8000,1.0000,0.4286,0.6000,0,0.4000,0,0
Ex 323,1.0000,1.0000,1.0000,0.7500,0.9000,0.8182,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 325,1.0000,1.0000,1.0000,1.0000,0.7143,0.8333,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 326,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,0.8000,1,1.0000,0,0
Ex 327,1.0000,1.0000,1.0000,0.8947,0.7727,0.8293,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 328,0.7500,1.0000,0.8571,0.8649,0.7619,0.8101,0.8000,1.0000,0.8889,0,0.1667,0,0
Ex 329,1.0000,0.7500,0.8571,0.7143,0.9091,0.8000,0.3333,0.3333,0.3333,0,0.3333,0,0
Ex 330,0.6000,0.6000,0.6000,0.7222,0.5909,0.6500,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 331,1.0000,1.0000,1.0000,0.4643,0.5909,0.5200,0.3333,1.0000,0.5000,1,0.0000,0,0
Ex 332,0.8333,0.7143,0.7692,0.7222,0.7222,0.7222,0.6000,0.4286,0.5000,0,0.2000,0,0
Ex 333,0.5000,0.5000,0.5000,0.7778,0.8400,0.8077,0.5000,0.2857,0.3636,0,0.0000,0,0
Ex 334,1.0000,1.0000,1.0000,0.6667,0.8000,0.7273,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 335,0.4000,1.0000,0.5714,0.7000,0.5833,0.6364,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 336,1.0000,1.0000,1.0000,0.9667,0.8788,0.9206,1.0000,1.0000,1.0000,1,0.4000,1,0
Ex 337,1.0000,1.0000,1.0000,0.5000,0.8235,0.6222,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 338,1.0000,0.8000,0.8889,1.0000,0.8148,0.8980,0.7500,0.6000,0.6667,0,0.0000,0,0
Ex 339,0.3333,0.6667,0.4444,0.4444,0.5714,0.5000,1.0000,0.5000,0.6667,0,0.5000,0,0
Ex 340,1.0000,0.7778,0.8750,0.7931,0.9200,0.8519,0.5714,0.5000,0.5333,0,0.2857,0,0
Ex 341,0.6667,0.6667,0.6667,0.7500,0.6667,0.7059,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 343,1.0000,1.0000,1.0000,0.5556,0.7895,0.6522,0.8000,1.0000,0.8889,1,0.2000,0,0
Ex 344,0.7143,0.6250,0.6667,0.6190,0.5909,0.6047,0.5000,0.1250,0.2000,0,0.0000,0,0
Ex 346,0.4000,1.0000,0.5714,0.6000,0.5455,0.5714,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 348,0.5000,0.5000,0.5000,0.5000,0.2000,0.2857,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 350,0.8750,1.0000,0.9333,0.9062,0.7436,0.8169,0.5000,0.6000,0.5455,0,0.2857,0,0
Ex 352,1.0000,0.8000,0.8889,0.7692,0.8696,0.8163,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 354,0.6667,0.6667,0.6667,0.8750,1.0000,0.9333,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 355,1.0000,0.8000,0.8889,0.5882,0.5556,0.5714,0.7500,0.6000,0.6667,0,0.0000,0,0
Ex 356,0.5000,1.0000,0.6667,0.4667,0.7000,0.5600,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 357,0.7500,0.8571,0.8000,0.6562,0.6774,0.6667,0.6000,0.5000,0.5455,0,0.0000,0,0
Ex 358,0.5000,1.0000,0.6667,0.6316,0.6000,0.6154,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 359,0.6667,0.6667,0.6667,0.6667,0.8333,0.7407,0.3333,0.3333,0.3333,0,0.0000,0,0
Ex 361,0.5000,1.0000,0.6667,0.8636,0.7917,0.8261,0.6667,1.0000,0.8000,0,0.0000,0,0
Ex 362,1.0000,1.0000,1.0000,1.0000,0.8947,0.9444,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 364,1.0000,1.0000,1.0000,1.0000,0.8462,0.9167,1.0000,1.0000,1.0000,1,0.5000,1,0
Ex 365,1.0000,1.0000,1.0000,0.6667,0.7778,0.7179,1.0000,1.0000,1.0000,1,0.2500,1,0
