Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5700,0.9500,0.7125,0.6983,0.8215,0.7549,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 252,0.9500,0.9500,0.9500,0.8313,0.8951,0.8620,0.6257,0.8759,0.7299,0.9500,0.1862,0.0000,0.0000
Ex 253,0.7600,0.7600,0.7600,0.7448,0.8276,0.7840,0.8759,0.7299,0.7961,0.0000,0.2327,0.0000,0.0000
Ex 254,0.7125,0.9500,0.8142,0.3724,0.5819,0.4541,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 255,0.7916,0.8636,0.8261,0.6445,0.7905,0.7101,0.7883,0.7167,0.7507,0.0000,0.0931,0.0000,0.0000
Ex 256,0.7125,0.9500,0.8142,0.8215,0.8728,0.8463,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 257,0.7125,0.9500,0.8142,0.6983,0.6347,0.6650,0.8759,0.4379,0.5839,0.0000,0.0000,0.0000,0.0000
Ex 258,0.9500,0.9500,0.9500,0.6983,0.6347,0.6650,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 259,0.9500,0.7916,0.8636,0.7448,0.7758,0.7600,0.5255,0.4379,0.4777,0.0000,0.3724,0.0000,0.0000
Ex 260,0.5428,0.9500,0.6909,0.7840,0.7093,0.7448,0.5839,0.5839,0.5839,0.0000,0.0000,0.0000,0.0000
Ex 261,0.9500,0.9500,0.9500,0.5502,0.6370,0.5904,0.5004,0.8759,0.6370,0.9500,0.0000,0.0000,0.0000
Ex 262,0.9500,0.8312,0.8866,0.7667,0.8146,0.7900,0.7299,0.6257,0.6738,0.0000,0.3991,0.0000,0.0000
Ex 263,0.3166,0.5700,0.4072,0.5430,0.5014,0.5214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 264,0.9500,0.8142,0.8769,0.6983,0.6983,0.6983,0.7299,0.7299,0.7299,0.0000,0.1552,0.0000,0.0000
Ex 265,0.4750,0.9500,0.6334,0.5043,0.7565,0.6052,0.8759,0.5839,0.7007,0.0000,0.0000,0.0000,0.0000
Ex 266,0.4072,0.9500,0.5700,0.4073,0.5925,0.4827,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 267,0.7125,0.9500,0.8142,0.6024,0.8535,0.7063,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 268,0.4750,0.7600,0.5846,0.5430,0.8146,0.6517,0.5839,0.4379,0.5004,0.0000,0.0000,0.0000,0.0000
Ex 269,0.6334,0.6334,0.6334,0.7448,0.9310,0.8276,0.8759,0.4379,0.5839,0.0000,0.0000,0.0000,0.0000
Ex 270,0.7600,0.9500,0.8445,0.6370,0.6724,0.6542,0.8759,0.6570,0.7507,0.0000,0.0000,0.0000,0.0000
Ex 271,0.5700,0.9500,0.7125,0.6400,0.6827,0.6607,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 272,0.7125,0.9500,0.8142,0.5707,0.8844,0.6936,0.8759,0.8759,0.8759,0.0000,0.1552,0.8759,0.0000
Ex 273,0.9500,0.9500,0.9500,0.6517,0.8146,0.7241,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 274,0.4750,0.4750,0.4750,0.6771,0.8276,0.7448,0.8759,0.2920,0.4379,0.0000,0.0000,0.0000,0.0000
