Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.5700,0.9500,0.7125,0.9310,0.7667,0.8408,0.0000,0.0000,0.0000,0.0000,0.6207,0.0000,0.0000
Ex 252,0.9500,0.9500,0.9500,0.8313,0.8951,0.8620,0.6257,0.8759,0.7299,0.9500,0.1862,0.0000,0.0000
Ex 253,0.9500,0.7600,0.8445,0.7194,0.7536,0.7362,0.5255,0.4379,0.4777,0.0000,0.2327,0.0000,0.0000
Ex 254,0.5700,0.9500,0.7125,0.8069,0.7565,0.7809,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 255,0.9500,0.8636,0.9048,0.8448,0.8607,0.8527,0.6570,0.4777,0.5532,0.0000,0.2793,0.0000,0.0000
Ex 256,0.7125,0.9500,0.8142,0.8146,0.8146,0.8146,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 257,0.5700,0.9500,0.7125,0.7448,0.6771,0.7093,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 258,0.9500,0.9500,0.9500,0.6207,0.5078,0.5586,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 259,0.9500,0.7916,0.8636,0.7758,0.7758,0.7758,0.6570,0.4379,0.5255,0.0000,0.3724,0.0000,0.0000
Ex 260,0.9500,0.9500,0.9500,0.8379,0.7979,0.8174,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 261,0.9500,0.5700,0.7125,0.6207,0.7758,0.6896,0.4379,0.2190,0.2920,0.0000,0.0000,0.0000,0.0000
Ex 262,0.9500,0.8312,0.8866,0.7448,0.8146,0.7781,0.7299,0.6257,0.6738,0.0000,0.3991,0.0000,0.0000
Ex 263,0.4750,0.5700,0.5182,0.7161,0.7161,0.7161,0.4379,0.2190,0.2920,0.0000,0.0000,0.0000,0.0000
Ex 264,0.9500,0.8142,0.8769,0.6607,0.7315,0.6943,0.7299,0.7299,0.7299,0.0000,0.1552,0.0000,0.0000
Ex 265,0.5938,0.9500,0.7307,0.5502,0.7565,0.6370,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 266,0.5700,0.9500,0.7125,0.5319,0.6771,0.5958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 267,0.7125,0.9500,0.8142,0.6827,0.8535,0.7586,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 268,0.7916,0.9500,0.8636,0.7913,0.8793,0.8330,0.8759,0.6570,0.7507,0.0000,0.5586,0.0000,0.0000
Ex 269,0.9500,0.9500,0.9500,0.7161,0.8463,0.7758,0.8759,0.8759,0.8759,0.9500,0.3103,0.8759,0.0000
Ex 270,0.9500,0.9500,0.9500,0.6724,0.6724,0.6724,0.8759,0.6570,0.7507,0.9500,0.0000,0.0000,0.0000
Ex 271,0.4750,0.9500,0.6334,0.7878,0.6827,0.7315,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 272,0.8142,0.9500,0.8769,0.6331,0.7913,0.7034,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 273,0.3800,0.9500,0.5428,0.6983,0.6983,0.6983,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 274,0.7125,0.7125,0.7125,0.7315,0.7878,0.7586,0.8759,0.5839,0.7007,0.0000,0.0000,0.0000,0.0000
Ex 275,0.7125,0.9500,0.8142,0.8728,0.8215,0.8463,0.8759,0.4379,0.5839,0.0000,0.3103,0.0000,0.0000
Ex 276,0.9500,0.7600,0.8445,0.7076,0.7691,0.7371,0.5839,0.3503,0.4379,0.0000,0.4655,0.0000,0.0000
Ex 277,0.9500,0.6786,0.7916,0.5319,0.6771,0.5958,0.1460,0.1460,0.1460,0.0000,0.0000,0.0000,0.0000
Ex 278,0.4750,0.6334,0.5428,0.9310,0.9310,0.9310,0.8759,0.4379,0.5839,0.0000,0.9310,0.0000,0.0000
Ex 279,0.9500,0.9500,0.9500,0.9310,0.9310,0.9310,0.8759,0.8759,0.8759,0.9500,0.9310,0.8759,0.8759
Ex 280,0.9500,0.9500,0.9500,0.6741,0.8500,0.7520,0.8759,0.8759,0.8759,0.9500,0.1331,0.8759,0.0000
Ex 281,0.5700,0.9500,0.7125,0.9310,0.7979,0.8594,0.0000,0.0000,0.0000,0.0000,0.6207,0.0000,0.0000
Ex 282,0.9500,0.9500,0.9500,0.8215,0.8728,0.8463,0.8759,0.8759,0.8759,0.9500,0.3724,0.8759,0.0000
Ex 283,0.5700,0.9500,0.7125,0.9310,0.6827,0.7878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 284,0.4750,0.4750,0.4750,0.5319,0.7448,0.6207,0.8759,0.2920,0.4379,0.0000,0.0000,0.0000,0.0000
Ex 285,0.5700,0.9500,0.7125,0.6517,0.4655,0.5430,0.8759,0.4379,0.5839,0.0000,0.0000,0.0000,0.0000
Ex 286,0.9500,0.9500,0.9500,0.7667,0.8689,0.8146,0.8759,0.8759,0.8759,0.9500,0.4655,0.8759,0.0000
Ex 287,0.9500,0.7600,0.8445,0.6860,0.7241,0.7046,0.5839,0.4379,0.5004,0.0000,0.2327,0.0000,0.0000
Ex 288,0.9500,0.9500,0.9500,0.8096,0.7758,0.7923,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 289,0.9500,0.9500,0.9500,0.8535,0.8535,0.8535,0.8759,0.8759,0.8759,0.9500,0.3103,0.8759,0.0000
Ex 290,0.9500,0.9500,0.9500,0.8276,0.8276,0.8276,0.8759,0.8759,0.8759,0.9500,0.4655,0.8759,0.0000
Ex 291,0.9500,0.7125,0.8142,0.6827,0.7315,0.7063,0.4379,0.2920,0.3503,0.0000,0.0000,0.0000,0.0000
Ex 292,0.5700,0.9500,0.7125,0.6445,0.7618,0.6983,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 293,0.7600,0.9500,0.8445,0.7565,0.7120,0.7335,0.8759,0.5839,0.7007,0.0000,0.0000,0.0000,0.0000
Ex 294,0.9500,0.9500,0.9500,0.8040,0.8844,0.8424,0.8759,0.8759,0.8759,0.9500,0.4655,0.8759,0.0000
Ex 295,0.7125,0.9500,0.8142,0.8728,0.8728,0.8728,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 296,0.7600,0.6334,0.6909,0.8330,0.7913,0.8116,0.8759,0.1460,0.2503,0.0000,0.2327,0.0000,0.0000
Ex 297,0.6334,0.7600,0.6909,0.5729,0.6771,0.6207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 298,0.7125,0.9500,0.8142,0.8594,0.8594,0.8594,0.8759,0.5839,0.7007,0.0000,0.3103,0.0000,0.0000
Ex 299,0.7125,0.9500,0.8142,0.5043,0.4483,0.4746,0.8759,0.8759,0.8759,0.0000,0.0000,0.8759,0.0000
Ex 300,0.9500,0.7125,0.8142,0.4410,0.6445,0.5237,0.8759,0.5839,0.7007,0.0000,0.0000,0.0000,0.0000
Ex 301,0.7125,0.7125,0.7125,0.7093,0.7840,0.7448,0.8759,0.2920,0.4379,0.0000,0.3103,0.0000,0.0000
Ex 302,0.7916,0.9500,0.8636,0.7941,0.8437,0.8182,0.8759,0.8759,0.8759,0.0000,0.1862,0.8759,0.0000
Ex 303,0.8142,0.9500,0.8769,0.7900,0.7900,0.7900,0.6570,0.5255,0.5839,0.0000,0.3103,0.0000,0.0000
Ex 304,0.5700,0.9500,0.7125,0.7315,0.7315,0.7315,0.8759,0.8759,0.8759,0.0000,0.3103,0.8759,0.0000
Ex 305,0.9500,0.9500,0.9500,0.7241,0.7667,0.7448,0.5255,0.8759,0.6570,0.9500,0.2327,0.0000,0.0000
Ex 306,0.9500,0.9500,0.9500,0.8565,0.7514,0.8005,0.5575,0.8759,0.6812,0.9500,0.0000,0.0000,0.0000
Ex 307,0.9500,0.9500,0.9500,0.9058,0.7131,0.7979,0.2190,0.8759,0.3503,0.9500,0.1552,0.0000,0.0000
Ex 308,0.9500,0.7600,0.8445,0.8887,0.8146,0.8500,0.6570,0.5255,0.5839,0.0000,0.4655,0.0000,0.0000
Ex 309,0.6334,0.7600,0.6909,0.5925,0.6207,0.6062,0.5839,0.3503,0.4379,0.0000,0.0000,0.0000,0.0000
Ex 310,0.6334,0.9500,0.7600,0.9310,0.8069,0.8646,0.0000,0.0000,0.0000,0.0000,0.4655,0.0000,0.0000
Ex 311,0.9500,0.9500,0.9500,0.8728,0.8215,0.8463,0.8759,0.5839,0.7007,0.9500,0.3103,0.0000,0.0000
Ex 312,0.9500,0.9500,0.9500,0.6771,0.8276,0.7448,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 313,0.9500,0.8142,0.8769,0.7840,0.8762,0.8276,0.7007,0.5839,0.6370,0.0000,0.3103,0.0000,0.0000
Ex 314,0.7125,0.7125,0.7125,0.7161,0.7758,0.7448,0.5839,0.3503,0.4379,0.0000,0.0000,0.0000,0.0000
Ex 315,0.7125,0.7125,0.7125,0.4073,0.3621,0.3834,0.8759,0.4379,0.5839,0.0000,0.0000,0.0000,0.0000
Ex 316,0.6786,0.9500,0.7916,0.6207,0.7448,0.6771,0.8759,0.6570,0.7507,0.0000,0.1862,0.0000,0.0000
Ex 317,0.4750,0.9500,0.6334,0.9310,0.8535,0.8905,0.0000,0.0000,0.0000,0.0000,0.4655,0.0000,0.0000
Ex 318,0.5700,0.9500,0.7125,0.9310,0.6983,0.7979,0.8759,0.8759,0.8759,0.0000,0.6207,0.8759,0.0000
Ex 319,0.9500,0.9500,0.9500,0.9310,0.7448,0.8276,0.8759,0.8759,0.8759,0.9500,0.0000,0.8759,0.0000
Ex 320,0.7916,0.9500,0.8636,0.9310,0.8922,0.9112,0.8759,0.6570,0.7507,0.0000,0.7448,0.0000,0.0000
Ex 321,0.5428,0.7600,0.6334,0.6650,0.5819,0.6207,0.2920,0.2190,0.2503,0.0000,0.0000,0.0000,0.0000
Ex 322,0.9500,0.6786,0.7916,0.7913,0.7536,0.7720,0.8759,0.3756,0.5255,0.0000,0.3724,0.0000,0.0000
Ex 323,0.9500,0.9500,0.9500,0.6207,0.9310,0.7448,0.8759,0.8759,0.8759,0.9500,0.3103,0.8759,0.0000
Ex 324,0.3800,0.9500,0.5428,0.6771,0.7448,0.7093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ex 325,0.9500,0.9500,0.9500,0.9310,0.7979,0.8594,0.8759,0.8759,0.8759,0.9500,0.4655,0.8759,0.0000
Ex 326,0.9500,0.9500,0.9500,0.8728,0.7350,0.7979,0.5839,0.8759,0.7007,0.9500,0.0000,0.0000,0.0000
Ex 327,0.7125,0.7125,0.7125,0.7565,0.6370,0.6917,0.8759,0.4379,0.5839,0.0000,0.0000,0.0000,0.0000
Ex 328,0.9500,0.7916,0.8636,0.7878,0.8304,0.8085,0.5255,0.6570,0.5839,0.0000,0.1862,0.0000,0.0000
Ex 329,0.7600,0.9500,0.8445,0.6983,0.7448,0.7208,0.8759,0.8759,0.8759,0.0000,0.2327,0.8759,0.0000
Ex 330,0.9500,0.7600,0.8445,0.7565,0.5043,0.6052,0.5839,0.4379,0.5004,0.0000,0.0000,0.0000,0.0000
Ex 331,0.7600,0.9500,0.8445,0.6207,0.5078,0.5586,0.2920,0.4379,0.3503,0.0000,0.0000,0.0000,0.0000
Ex 332,0.8142,0.8142,0.8142,0.7076,0.8424,0.7691,0.5839,0.5004,0.5390,0.0000,0.3103,0.0000,0.0000
