Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.3333,1.0000,0.5000,0.6087,0.8235,0.7000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 252,0.5000,1.0000,0.6667,0.6667,0.6923,0.6792,1.0000,0.8000,0.8889,0,0.0000,0,0
Ex 253,0.5714,0.8000,0.6667,0.5667,0.9444,0.7083,1.0000,0.8333,0.9091,0,0.0000,0,0
Ex 254,0.3333,1.0000,0.5000,0.4000,0.7500,0.5217,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 255,0.6667,0.9091,0.7692,0.6508,0.7736,0.7069,0.7143,0.4545,0.5556,0,0.0000,0,0
Ex 256,0.6000,1.0000,0.7500,0.8750,0.8750,0.8750,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 257,0.3750,1.0000,0.5455,0.6522,0.6818,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 258,0.3333,1.0000,0.5000,0.7083,0.7727,0.7391,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 259,0.8333,0.8333,0.8333,0.5278,0.7917,0.6333,0.8000,0.6667,0.7273,0,0.0000,0,0
Ex 260,0.5000,1.0000,0.6667,0.6429,0.8571,0.7347,0.6000,1.0000,0.7500,0,0.0000,0,0
Ex 261,1.0000,1.0000,1.0000,0.4815,0.6842,0.5652,0.6000,0.7500,0.6667,1,0.0000,0,0
Ex 262,1.0000,0.7500,0.8571,0.5833,0.7500,0.6562,0.5714,0.5714,0.5714,0,0.0000,0,0
Ex 263,0.3000,0.6000,0.4000,0.5714,0.6154,0.5926,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,0.7000,1.0000,0.8235,0.7812,0.8065,0.7937,1.0000,1.0000,1.0000,0,0.1429,1,0
Ex 265,0.4545,1.0000,0.6250,0.4545,0.6250,0.5263,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 266,0.3333,1.0000,0.5000,0.3158,0.5455,0.4000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 267,0.3000,1.0000,0.4615,0.5625,0.7500,0.6429,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 268,0.5000,1.0000,0.6667,0.5714,0.8889,0.6957,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 269,0.5000,1.0000,0.6667,0.6875,1.0000,0.8148,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 270,0.5000,1.0000,0.6667,0.4375,0.7778,0.5600,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 271,0.6000,1.0000,0.7500,0.7222,0.8667,0.7879,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 272,0.4167,0.8333,0.5556,0.4444,0.7059,0.5455,1.0000,0.6000,0.7500,0,0.0000,0,0
Ex 273,0.4000,1.0000,0.5714,0.4444,0.5000,0.4706,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 274,0.3333,0.5000,0.4000,0.8889,0.8889,0.8889,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 275,0.2222,0.6667,0.3333,0.7000,0.5833,0.6364,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 276,0.6250,1.0000,0.7692,0.5641,0.8148,0.6667,0.7500,0.6000,0.6667,0,0.2000,0,0
Ex 278,0.4000,0.6667,0.5000,0.5625,0.6429,0.6000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 279,0.4000,1.0000,0.5714,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 280,0.6667,0.2857,0.4000,0.7000,0.7778,0.7368,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 282,0.7143,1.0000,0.8333,0.8333,0.9375,0.8824,1.0000,1.0000,1.0000,0,0.4000,1,0
Ex 283,0.5000,1.0000,0.6667,1.0000,0.8667,0.9286,0.0000,0.0000,0.0000,0,0.6667,0,0
Ex 284,0.3750,0.7500,0.5000,0.3571,0.7143,0.4762,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 285,0.3750,1.0000,0.5455,0.5294,0.6429,0.5806,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 286,0.8000,1.0000,0.8889,0.4643,0.8667,0.6047,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 287,0.5000,0.6000,0.5455,0.6471,0.7333,0.6875,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 288,0.6250,1.0000,0.7692,0.4500,0.3750,0.4091,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 289,0.4286,1.0000,0.6000,0.6667,0.6667,0.6667,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 290,0.4000,1.0000,0.5714,0.6429,1.0000,0.7826,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 291,0.5000,0.7500,0.6000,0.3571,0.3571,0.3571,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 292,0.3750,1.0000,0.5455,0.2500,0.4545,0.3226,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 293,0.4444,1.0000,0.6154,0.6667,0.8235,0.7368,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 294,0.4444,1.0000,0.6154,0.7500,0.7500,0.7500,0.6667,0.6667,0.6667,0,0.2500,0,0
Ex 295,0.5000,1.0000,0.6667,0.8125,0.8125,0.8125,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 296,0.3636,0.6667,0.4706,0.8571,0.9000,0.8780,0.0000,0.0000,0.0000,0,0.2500,0,0
Ex 297,0.5000,0.8000,0.6154,0.3333,0.7273,0.4571,0.5000,0.2500,0.3333,0,0.0000,0,0
Ex 298,0.7500,1.0000,0.8571,0.6316,0.9231,0.7500,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 299,0.5000,1.0000,0.6667,0.5652,0.4815,0.5200,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 300,0.5000,1.0000,0.6667,0.3226,0.6250,0.4255,0.6667,0.6667,0.6667,0,0.0000,0,0
Ex 301,0.4444,1.0000,0.6154,0.3636,0.5455,0.4364,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 302,0.4545,1.0000,0.6250,0.7812,0.7812,0.7812,1.0000,0.7500,0.8571,0,0.2000,0,0
Ex 303,0.7500,1.0000,0.8571,0.5200,0.7879,0.6265,0.8000,0.8000,0.8000,0,0.0000,0,0
