Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.9231,0.7059,0.8000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 252,1.0000,0.8000,0.8889,0.6316,0.5714,0.6000,1.0000,0.4000,0.5714,0,0.2500,0,0
Ex 253,1.0000,1.0000,1.0000,0.7826,0.7500,0.7660,0.8333,0.8333,0.8333,1,0.0000,0,0
Ex 254,1.0000,1.0000,1.0000,0.4286,0.3750,0.4000,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 255,1.0000,0.2727,0.4286,1.0000,0.7619,0.8649,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 256,1.0000,1.0000,1.0000,0.7368,0.8750,0.8000,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 257,0.5000,0.6667,0.5714,1.0000,0.6923,0.8182,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 258,1.0000,1.0000,1.0000,0.5385,0.3182,0.4000,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 259,1.0000,0.5000,0.6667,0.9000,0.7500,0.8182,0.6667,0.3333,0.4444,0,0.3333,0,0
Ex 260,1.0000,1.0000,1.0000,0.9333,0.6667,0.7778,1.0000,0.6667,0.8000,1,0.0000,0,0
Ex 261,1.0000,0.6000,0.7500,0.6250,0.4545,0.5263,0.5000,0.2500,0.3333,0,0.0000,0,0
Ex 262,1.0000,0.3750,0.5455,0.5385,0.5000,0.5185,0.5000,0.1429,0.2222,0,0.0000,0,0
Ex 263,0.6667,0.4000,0.5000,0.5000,0.4444,0.4706,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.4286,0.6000,0.5000,0.5385,0.5185,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 265,0.6667,0.8000,0.7273,0.7500,0.9231,0.8276,0.6667,0.6667,0.6667,0,0.2500,0,0
Ex 266,0.6000,1.0000,0.7500,0.5333,0.7273,0.6154,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 267,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 268,1.0000,0.6000,0.7500,0.5625,0.7500,0.6429,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 269,0.7500,1.0000,0.8571,0.7000,0.6364,0.6667,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 270,1.0000,0.7500,0.8571,0.5455,0.4286,0.4800,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 271,0.6667,0.6667,0.6667,1.0000,0.8000,0.8889,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 272,0.4000,0.3333,0.3636,0.0909,0.1429,0.1111,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 273,0.3333,0.5000,0.4000,0.6667,0.4000,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 274,1.0000,0.7500,0.8571,0.5000,0.3846,0.4348,0.5000,0.3333,0.4000,0,0.0000,0,0
