Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.4286,1.0000,0.6000,0.9231,0.7059,0.8000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 252,0.6250,1.0000,0.7692,0.9474,0.6923,0.8000,1.0000,0.6000,0.7500,0,0.2000,0,0
Ex 253,1.0000,1.0000,1.0000,0.7826,0.7500,0.7660,0.6667,0.3333,0.4444,1,0.0000,0,0
Ex 254,0.7500,1.0000,0.8571,0.7333,0.6875,0.7097,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 255,1.0000,0.7273,0.8421,0.8108,0.6977,0.7500,0.8000,0.3636,0.5000,0,0.1250,0,0
Ex 256,1.0000,1.0000,1.0000,0.7368,0.8750,0.8000,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 257,0.6000,1.0000,0.7500,1.0000,0.5909,0.7429,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 258,0.7500,1.0000,0.8571,0.5385,0.3182,0.4000,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 259,0.8333,0.8333,0.8333,0.8889,0.6667,0.7619,1.0000,0.5000,0.6667,0,0.4000,0,0
Ex 260,0.6667,1.0000,0.8000,0.9333,0.6667,0.7778,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 261,1.0000,1.0000,1.0000,0.7143,0.5263,0.6061,1.0000,0.7500,0.8571,1,0.0000,0,0
Ex 262,1.0000,0.8750,0.9333,0.6154,0.5000,0.5517,1.0000,0.5714,0.7273,0,0.0000,0,0
Ex 263,0.6000,0.6000,0.6000,0.5000,0.4615,0.4800,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.8571,0.9231,0.6923,0.6429,0.6667,1.0000,0.8333,0.9091,0,0.0000,0,0
Ex 265,0.6250,1.0000,0.7692,0.7368,0.8750,0.8000,0.6667,0.6667,0.6667,0,0.2000,0,0
Ex 266,0.5000,1.0000,0.6667,0.5333,0.7273,0.6154,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 267,0.5000,1.0000,0.6667,0.4667,0.5833,0.5185,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 268,0.5714,0.8000,0.6667,0.5714,0.7500,0.6486,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 269,0.4286,1.0000,0.6000,0.7000,0.6364,0.6667,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 270,0.8000,1.0000,0.8889,0.5000,0.3889,0.4375,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 271,0.6000,1.0000,0.7500,0.8182,0.6000,0.6923,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 272,0.5000,1.0000,0.6667,0.2500,0.3000,0.2727,1.0000,0.4000,0.5714,0,0.0000,0,0
Ex 273,0.4000,1.0000,0.5714,0.8000,0.5000,0.6154,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 274,1.0000,1.0000,1.0000,0.7692,0.5882,0.6667,1.0000,0.6667,0.8000,1,0.0000,0,0
Ex 275,0.6000,1.0000,0.7500,0.8125,0.7647,0.7879,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 276,0.8333,1.0000,0.9091,0.6842,0.4815,0.5652,0.6667,0.4000,0.5000,0,0.0000,0,0
Ex 277,1.0000,0.8571,0.9231,0.6818,0.6250,0.6522,0.5000,0.3333,0.4000,0,0.1667,0,0
Ex 278,0.6000,1.0000,0.7500,0.7647,0.6842,0.7222,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 279,0.5000,1.0000,0.6667,1.0000,0.8000,0.8889,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 280,0.8333,0.7143,0.7692,0.5500,0.5789,0.5641,0.2500,0.1667,0.2000,0,0.0000,0,0
Ex 281,0.7500,1.0000,0.8571,0.4667,0.5000,0.4828,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 282,0.8333,1.0000,0.9091,0.4091,0.5625,0.4737,1.0000,0.5000,0.6667,0,0.2000,0,0
Ex 283,0.5000,1.0000,0.6667,1.0000,0.7333,0.8462,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 284,0.4000,0.5000,0.4444,0.3333,0.4000,0.3636,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 285,0.6000,1.0000,0.7500,0.2500,0.2143,0.2308,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 286,0.6000,0.7500,0.6667,1.0000,0.6923,0.8182,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 287,0.5000,0.6000,0.5455,0.7059,0.8571,0.7742,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 288,0.8333,1.0000,0.9091,0.8750,0.5833,0.7000,0.5000,0.2500,0.3333,0,0.0000,0,0
Ex 289,0.6000,1.0000,0.7500,0.7000,0.5833,0.6364,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 290,0.6667,1.0000,0.8000,0.8889,0.8889,0.8889,1.0000,1.0000,1.0000,0,0.5000,1,0
Ex 291,0.5000,1.0000,0.6667,0.5385,0.3684,0.4375,0.6667,0.6667,0.6667,0,0.0000,0,0
Ex 292,0.6000,1.0000,0.7500,0.2500,0.2727,0.2609,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 293,0.8000,1.0000,0.8889,0.8182,0.5294,0.6429,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 294,0.8000,1.0000,0.8889,0.8889,0.8000,0.8421,0.5000,0.3333,0.4000,0,0.0000,0,0
Ex 295,0.4286,1.0000,0.6000,0.8125,0.8125,0.8125,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 296,0.7143,0.8333,0.7692,0.8696,0.8696,0.8696,0.5000,0.1667,0.2500,0,0.4000,0,0
Ex 297,0.5000,0.4000,0.4444,0.3333,0.5000,0.4000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 298,1.0000,1.0000,1.0000,1.0000,0.6923,0.8182,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 299,1.0000,1.0000,1.0000,0.9091,0.7407,0.8163,1.0000,0.5000,0.6667,1,0.0000,0,0
Ex 300,0.8000,1.0000,0.8889,0.6429,0.5625,0.6000,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 301,0.6000,0.7500,0.6667,0.7500,0.7895,0.7692,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 302,0.6250,1.0000,0.7692,0.7500,0.5625,0.6429,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 303,0.7500,1.0000,0.8571,0.7407,0.6061,0.6667,0.7500,0.6000,0.6667,0,0.0000,0,0
Ex 304,0.6000,1.0000,0.7500,0.6250,0.3571,0.4545,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 305,1.0000,1.0000,1.0000,0.7857,0.6471,0.7097,0.0000,0.0000,0.0000,1,0.0000,0,0
Ex 306,1.0000,0.3636,0.5333,0.6400,0.7619,0.6957,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 307,0.8571,1.0000,0.9231,0.9667,0.6170,0.7532,0.2500,1.0000,0.4000,0,0.0000,0,0
Ex 308,1.0000,0.8000,0.8889,1.0000,0.8333,0.9091,0.5000,0.2000,0.2857,0,0.2500,0,0
Ex 309,0.4286,0.6000,0.5000,0.7273,0.4706,0.5714,1.0000,0.2000,0.3333,0,0.0000,0,0
Ex 310,0.6667,1.0000,0.8000,1.0000,0.6667,0.8000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 311,0.6000,1.0000,0.7500,0.7143,0.5882,0.6452,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 312,1.0000,0.6667,0.8000,0.4000,0.8000,0.5333,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 313,1.0000,0.8571,0.9231,0.3750,0.5294,0.4390,0.6667,0.3333,0.4444,0,0.1667,0,0
Ex 314,0.7500,0.7500,0.7500,0.8000,0.6667,0.7273,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 315,0.5000,0.5000,0.5000,0.5714,0.3333,0.4211,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 316,0.8333,1.0000,0.9091,0.6429,0.4500,0.5294,0.5000,0.2500,0.3333,0,0.0000,0,0
Ex 317,0.5000,1.0000,0.6667,0.8333,0.4167,0.5556,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 318,0.7500,1.0000,0.8571,0.8000,0.6667,0.7273,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 319,0.3333,1.0000,0.5000,1.0000,0.5000,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 320,0.7143,1.0000,0.8333,0.9500,0.7917,0.8636,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 321,0.5000,0.8000,0.6154,0.4500,0.3750,0.4091,0.5000,0.2500,0.3333,0,0.0000,0,0
Ex 322,1.0000,0.8571,0.9231,0.7391,0.6800,0.7083,1.0000,0.4286,0.6000,0,0.0000,0,0
Ex 323,0.7500,1.0000,0.8571,0.3750,0.6000,0.4615,1.0000,0.5000,0.6667,0,0.0000,0,0
