exercise_id,entity_1,entity_2,x_text,x_dep,x_type,x_cooccur,label
1,Airplane,Flight,0.7213141918182373,0.333,0.5465693511068821,0.5,1
1,Airplane,Crew,0.6219233274459839,0.25,0.6473469883203506,0.0,0
1,Flight,Crew,0.6302369832992554,0.25,0.5483597479760647,0.0,1
2,Transportation Mode,Carrier,0.44836369156837463,0.25,0.5435391813516617,0.0,0
2,Transportation Mode,Multimodal Transportation Task,0.7206305265426636,0.25,0.5543291345238686,0.0,0
2,Transportation Mode,Task Detail,0.5827890038490295,0.25,0.6297318637371063,0.75,1
2,Transportation Mode,Task Transportation Mode,0.523779571056366,0.5,0.5807788819074631,0.75,1
2,Transportation Mode,Task Carrier,0.5512742400169373,0.25,0.5679204165935516,0.75,0
2,Carrier,Multimodal Transportation Task,0.6967978477478027,0.25,0.5057574082165956,0.25,0
2,Carrier,Task Detail,0.4249367117881775,0.25,0.5712648183107376,0.25,1
2,Carrier,Task Transportation Mode,0.48667892813682556,0.25,0.4781988449394703,0.25,0
2,Carrier,Task Carrier,0.38201963901519775,0.5,0.5563133955001831,0.25,1
2,Multimodal Transportation Task,Task Detail,0.8190996050834656,0.2,0.6837416291236877,0.0,1
2,Multimodal Transportation Task,Task Transportation Mode,0.7791256904602051,0.2,0.8094470500946045,0.0,1
2,Multimodal Transportation Task,Task Carrier,0.8173916339874268,0.2,0.6607908606529236,0.0,1
2,Task Detail,Task Transportation Mode,0.5696369409561157,0.25,0.7811130583286285,0.0,0
2,Task Detail,Task Carrier,0.43496960401535034,0.25,0.8248701393604279,0.0,0
2,Task Transportation Mode,Task Carrier,0.555752694606781,0.25,0.8075019121170044,0.0,0
3,Warehouse,Goods,0.7396377325057983,0.143,0.6294974833726883,0.25,0
3,Warehouse,Loader,0.6943722367286682,0.25,0.4985382501035929,0.0,0
3,Warehouse,transaction record,0.6145585179328918,0.25,0.5638695135712624,0.25,1
3,Warehouse,good transaction record details,0.5939890146255493,0.25,0.6013307049870491,0.25,0
3,Warehouse,stevedore-transaction record,0.480524480342865,0.25,0.5401756837964058,0.25,0
3,Goods,Loader,0.41020888090133667,0.25,0.5458892732858658,0.0,0
3,Goods,transaction record,0.3471069633960724,0.25,0.5211908239871264,0.25,0
3,Goods,good transaction record details,0.35145360231399536,1.0,0.5898899137973785,0.25,1
3,Goods,stevedore-transaction record,0.28405290842056274,0.25,0.5081330183893442,0.25,0
3,Loader,transaction record,0.4264286160469055,0.25,0.5208867602050304,0.0,0
3,Loader,good transaction record details,0.4384618401527405,0.25,0.5150316534563899,0.0,0
3,Loader,stevedore-transaction record,0.34878411889076233,0.25,0.5038709416985512,0.0,1
3,transaction record,good transaction record details,0.19715198874473572,0.5,0.8997325301170349,0.25,1
3,transaction record,stevedore-transaction record,0.15190839767456055,0.5,0.8663890063762665,0.0,1
3,good transaction record details,stevedore-transaction record,0.1810961365699768,0.167,0.807537853717804,0.0,0
4,Customer,Service Plan,0.8546680212020874,0.25,0.6131595820188522,0.5,0
4,Customer,Subscription Record,0.6509047150611877,0.25,0.655437558889389,0.5,1
4,Service Plan,Subscription Record,0.6888258457183838,0.25,0.5316678658127785,0.25,1
5,Service,User,0.72547847032547,0.25,0.5354208461940289,0.25,0
5,Service,Service usage record,0.6576632857322693,0.5,0.5053735896945,0.5,1
5,User,Service usage record,0.5886141061782837,0.25,0.7063408493995667,0.25,1
6,project,developer,0.7394288182258606,0.25,0.5749168460925169,0.333,0
6,project,project progress,0.6858818531036377,0.333,0.5628158003091812,0.333,1
6,developer,project progress,0.7099966406822205,0.25,0.4992581242695451,0.333,1
7,Advertising Client,Advertisement,0.8716917037963867,0.333,0.7627474665641785,0.333,1
7,Advertising Client,Client Broadcast Record,0.8030635714530945,0.2,0.7283990383148193,0.333,1
7,Advertisement,Client Broadcast Record,0.8247548341751099,0.25,0.6329680979251862,1.0,1
8,Equipment,Equipment Maintenance,0.857282280921936,0.5,0.8636760413646698,0.5,1
8,Equipment,Maintenance Personnel,0.857282280921936,0.5,0.7415097653865814,0.5,0
8,Equipment Maintenance,Maintenance Personnel,0.857282280921936,0.333,0.8387170433998108,0.5,1
9,Candidate,Voter,0.8953626751899719,0.5,0.799367368221283,0.667,1
9,Candidate,Voting Record,0.8953626751899719,0.333,0.69215127825737,0.667,1
9,Voter,Voting Record,0.8953626751899719,0.5,0.8132832050323486,0.667,1
10,Member,Meeting,0.8077755570411682,0.333,0.7335687130689621,0.364,0
10,Member,Meeting Participation,0.626929521560669,0.25,0.7098447382450104,0.364,0
10,Meeting,Meeting Participation,0.6484878659248352,0.5,0.8973266184329987,0.091,1
11,Farm,Equipment,0.6493015289306641,0.25,0.6842153072357178,0.2,1
